project_id,number_of_implementing_officers,officer_turnover_count_last_year,district_collector_changes_count,inter_departmental_coordination_score,avg_file_processing_days,e_governance_system_used_flag,rti_queries_count,audit_objections_count,budget_utilization_percent,funds_availability_status
SIH26017-PRJ-000001,10,7,2,2,30.1,True,5,5,52.2,Delayed
SIH26017-PRJ-000002,1,10,6,1,23.4,True,7,5,51.7,Delayed
SIH26017-PRJ-000003,3,7,2,4,36.5,False,7,1,80.8,Delayed
SIH26017-PRJ-000004,5,7,3,3,20.4,False,3,3,45.1,Insufficient
SIH26017-PRJ-000005,11,10,5,2,34.4,True,9,3,13.7,Insufficient
SIH26017-PRJ-000006,5,10,2,3,21.9,False,10,0,20.5,Adequate
SIH26017-PRJ-000007,9,3,1,2,38.4,True,5,1,40.0,Delayed
SIH26017-PRJ-000008,1,10,4,3,34.8,True,1,3,21.9,Delayed
SIH26017-PRJ-000009,16,5,0,3,43.4,False,6,1,35.7,Insufficient
SIH26017-PRJ-000010,7,10,6,3,34.2,False,6,10,56.5,Delayed
SIH26017-PRJ-000011,5,5,3,2,33.7,False,15,2,63.7,Insufficient
SIH26017-PRJ-000012,4,10,6,1,28.7,False,1,6,93.6,Insufficient
SIH26017-PRJ-000013,4,8,2,3,39.3,False,5,3,50.5,Delayed
SIH26017-PRJ-000014,3,8,3,2,27.5,True,14,3,95.7,Adequate
SIH26017-PRJ-000015,13,10,0,2,26.0,False,1,2,70.1,Insufficient
SIH26017-PRJ-000016,4,1,2,1,24.3,False,7,2,37.9,Delayed
SIH26017-PRJ-000017,3,2,3,2,33.1,False,2,4,56.7,Delayed
SIH26017-PRJ-000018,2,5,2,3,33.0,True,7,0,80.4,Insufficient
SIH26017-PRJ-000019,5,10,6,2,37.2,False,19,7,64.5,Delayed
SIH26017-PRJ-000020,4,9,5,3,31.1,False,15,6,71.9,Delayed
SIH26017-PRJ-000021,5,10,6,3,35.2,True,9,2,63.6,Delayed
SIH26017-PRJ-000022,7,10,6,4,44.9,True,14,5,88.3,Insufficient
SIH26017-PRJ-000023,2,9,0,2,31.9,False,2,0,55.1,Delayed
SIH26017-PRJ-000024,3,10,3,2,41.8,True,12,5,17.2,Insufficient
SIH26017-PRJ-000025,4,8,3,1,26.1,False,8,2,49.8,Insufficient
SIH26017-PRJ-000026,3,10,3,2,39.7,True,29,5,4.7,Insufficient
SIH26017-PRJ-000027,5,10,6,1,22.6,True,9,5,91.9,Delayed
SIH26017-PRJ-000028,9,10,6,2,32.2,True,7,5,39.8,Delayed
SIH26017-PRJ-000029,7,4,2,3,32.1,True,3,1,66.6,Adequate
SIH26017-PRJ-000030,9,2,2,2,16.9,True,10,0,76.8,Delayed
SIH26017-PRJ-000031,6,10,6,2,22.8,False,2,8,53.5,Delayed
SIH26017-PRJ-000032,4,10,6,3,23.7,True,19,9,77.6,Insufficient
SIH26017-PRJ-000033,5,5,3,3,24.2,True,2,3,87.3,Adequate
SIH26017-PRJ-000034,7,2,1,2,31.6,False,7,6,59.0,Delayed
SIH26017-PRJ-000035,3,7,4,3,19.6,True,1,5,89.0,Delayed
SIH26017-PRJ-000036,6,10,6,3,21.1,True,32,6,71.4,Delayed
SIH26017-PRJ-000037,4,3,2,2,33.6,True,3,2,42.4,Insufficient
SIH26017-PRJ-000038,7,7,5,1,47.5,True,7,4,59.4,Delayed
SIH26017-PRJ-000039,6,0,1,4,27.3,True,2,1,41.7,Insufficient
SIH26017-PRJ-000040,5,10,2,3,30.8,False,15,2,19.2,Insufficient
SIH26017-PRJ-000041,4,9,2,3,24.6,True,13,6,78.1,Insufficient
SIH26017-PRJ-000042,3,4,6,3,23.8,True,7,4,78.3,Adequate
SIH26017-PRJ-000043,5,10,6,3,25.9,True,14,0,62.9,Delayed
SIH26017-PRJ-000044,2,10,4,2,14.7,True,10,2,94.1,Adequate
SIH26017-PRJ-000045,4,9,6,1,28.9,False,14,6,88.9,Adequate
SIH26017-PRJ-000046,5,3,4,2,33.0,True,5,1,72.6,Delayed
SIH26017-PRJ-000047,2,10,5,2,32.0,False,3,4,84.1,Delayed
SIH26017-PRJ-000048,8,4,3,2,34.8,True,10,1,48.1,Delayed
SIH26017-PRJ-000049,3,10,6,1,27.7,False,18,1,75.0,Delayed
SIH26017-PRJ-000050,2,10,6,2,36.3,True,13,4,85.7,Delayed
SIH26017-PRJ-000051,2,5,0,3,44.3,False,7,1,72.0,Adequate
SIH26017-PRJ-000052,2,3,1,3,32.7,True,1,1,69.5,Insufficient
SIH26017-PRJ-000053,3,10,6,1,32.0,True,1,4,77.4,Adequate
SIH26017-PRJ-000054,14,10,6,1,29.7,False,37,9,84.0,Delayed
SIH26017-PRJ-000055,7,5,3,2,43.6,True,3,6,13.9,Delayed
SIH26017-PRJ-000056,2,10,3,2,27.0,True,10,5,64.9,Adequate
SIH26017-PRJ-000057,2,10,6,4,24.4,False,5,3,25.3,Insufficient
SIH26017-PRJ-000058,4,6,1,3,29.4,True,7,1,99.4,Adequate
SIH26017-PRJ-000059,4,10,4,2,19.1,False,6,2,52.7,Adequate
SIH26017-PRJ-000060,2,3,2,3,27.7,False,2,7,64.4,Insufficient
SIH26017-PRJ-000061,7,5,5,2,31.6,True,10,0,46.8,Insufficient
SIH26017-PRJ-000062,1,3,6,2,18.8,True,6,1,87.4,Delayed
SIH26017-PRJ-000063,4,6,3,4,36.0,True,5,2,70.5,Delayed
SIH26017-PRJ-000064,6,10,1,3,39.3,False,7,2,52.8,Insufficient
SIH26017-PRJ-000065,4,4,2,3,28.5,False,7,4,73.9,Delayed
SIH26017-PRJ-000066,3,5,1,4,18.7,True,6,1,84.7,Adequate
SIH26017-PRJ-000067,3,10,3,1,41.4,False,12,5,76.1,Insufficient
SIH26017-PRJ-000068,9,10,5,1,36.4,False,15,3,78.6,Delayed
SIH26017-PRJ-000069,3,10,6,2,39.9,False,9,4,91.7,Insufficient
SIH26017-PRJ-000070,4,0,0,1,28.9,False,3,1,61.5,Delayed
SIH26017-PRJ-000071,3,10,6,2,33.7,False,2,4,81.0,Delayed
SIH26017-PRJ-000072,4,5,2,3,36.2,False,3,1,25.8,Insufficient
SIH26017-PRJ-000073,4,3,2,4,34.2,True,3,1,47.4,Delayed
SIH26017-PRJ-000074,2,9,3,2,34.4,True,13,3,59.4,Delayed
SIH26017-PRJ-000075,3,10,2,3,26.2,False,6,3,99.4,Delayed
SIH26017-PRJ-000076,4,4,6,3,28.3,False,8,2,94.4,Adequate
SIH26017-PRJ-000077,4,10,6,3,24.5,False,25,9,83.4,Delayed
SIH26017-PRJ-000078,7,8,4,1,35.3,False,13,1,46.6,Delayed
SIH26017-PRJ-000079,5,9,4,2,22.8,True,21,4,76.6,Adequate
SIH26017-PRJ-000080,2,10,2,3,30.1,False,7,4,76.4,Insufficient
SIH26017-PRJ-000081,3,10,4,3,41.6,True,25,2,94.4,Insufficient
SIH26017-PRJ-000082,9,1,5,2,24.2,True,4,2,31.7,Delayed
SIH26017-PRJ-000083,3,10,4,1,44.2,False,7,6,73.9,Insufficient
SIH26017-PRJ-000084,6,10,3,4,26.5,False,5,0,98.0,Delayed
SIH26017-PRJ-000085,12,9,4,4,29.5,False,7,0,87.8,Adequate
SIH26017-PRJ-000086,2,10,2,3,19.0,True,7,0,68.4,Delayed
SIH26017-PRJ-000087,2,10,6,2,29.9,False,20,1,61.7,Insufficient
SIH26017-PRJ-000088,6,10,6,2,15.0,False,4,4,94.9,Adequate
SIH26017-PRJ-000089,14,10,6,3,21.3,True,5,1,100.0,Delayed
SIH26017-PRJ-000090,3,0,1,1,17.8,False,4,0,84.8,Adequate
SIH26017-PRJ-000091,5,4,3,3,34.2,False,8,0,24.4,Delayed
SIH26017-PRJ-000092,2,2,1,2,25.5,False,4,3,98.1,Adequate
