project_id,approval_type,required_flag,applied_date,approved_date,status,approving_authority,days_taken,is_critical_path_approval
SIH26017-PRJ-000001,SIA Approval,True,2022-04-25,2022-07-19,Approved,District Collector,85.0,True
SIH26017-PRJ-000001,State Govt Approval,True,2022-05-06,2022-06-28,Approved,State Government,53.0,True
SIH26017-PRJ-000001,District Collector Approval,True,2022-04-20,2022-06-05,Approved,District Collector,46.0,False
SIH26017-PRJ-000001,Forest Clearance,True,2022-09-01,2023-08-28,Approved,State Forest Dept,361.0,True
SIH26017-PRJ-000001,Environmental Clearance,True,2022-09-05,,Rejected,State Environment Dept / MoEFCC,,True
SIH26017-PRJ-000002,SIA Approval,True,2015-11-26,2016-03-18,Approved,District Collector,113.0,True
SIH26017-PRJ-000002,State Govt Approval,True,2015-12-23,2016-02-25,Approved,State Government,64.0,True
SIH26017-PRJ-000002,District Collector Approval,True,2015-11-13,2015-12-11,Approved,District Collector,28.0,False
SIH26017-PRJ-000003,SIA Approval,True,2022-05-31,2022-09-26,Approved,District Collector,118.0,True
SIH26017-PRJ-000003,State Govt Approval,True,2022-05-31,2022-08-07,Approved,State Government,68.0,True
SIH26017-PRJ-000003,District Collector Approval,True,2022-05-29,2022-07-05,Approved,District Collector,37.0,False
SIH26017-PRJ-000003,Environmental Clearance,True,2022-07-16,2023-11-12,Approved,State Environment Dept / MoEFCC,484.0,True
SIH26017-PRJ-000004,SIA Approval,True,2022-12-30,2023-03-01,Approved,District Collector,61.0,True
SIH26017-PRJ-000004,State Govt Approval,True,2023-01-13,2023-03-09,Approved,State Government,55.0,True
SIH26017-PRJ-000004,District Collector Approval,True,2022-12-10,2023-01-27,Approved,District Collector,48.0,False
SIH26017-PRJ-000004,Environmental Clearance,True,2023-04-30,2024-03-30,Approved,State Environment Dept / MoEFCC,335.0,True
SIH26017-PRJ-000004,Ministry Approval,True,2023-02-14,2024-03-20,Approved,Concerned Central Ministry,400.0,False
SIH26017-PRJ-000005,SIA Approval,True,2020-06-24,2020-09-21,Approved,District Collector,89.0,True
SIH26017-PRJ-000005,State Govt Approval,True,2020-06-04,2020-10-03,Approved,State Government,121.0,True
SIH26017-PRJ-000005,District Collector Approval,True,2020-06-04,2020-07-29,Approved,District Collector,55.0,False
SIH26017-PRJ-000005,Environmental Clearance,True,2020-10-25,2021-08-26,Approved,State Environment Dept / MoEFCC,305.0,True
SIH26017-PRJ-000005,Ministry Approval,True,2020-09-16,2021-09-28,Approved,Concerned Central Ministry,377.0,False
SIH26017-PRJ-000006,SIA Approval,True,2019-11-16,2020-03-05,Approved,District Collector,110.0,True
SIH26017-PRJ-000006,State Govt Approval,True,2019-11-21,2020-01-17,Approved,State Government,57.0,True
