project_id,total_compensation_assessed_inr,compensation_disbursed_inr,percent_disbursed,number_of_beneficiaries,number_paid,disbursement_start_date,last_disbursement_date,solatium_percent,market_value_multiplier,compensation_dispute_flag,mode_of_payment,pending_compensation_inr
SIH26017-PRJ-000001,5582461445.33,1434692591.45,25.7,2313,573,2025-12-14,2025-02-28,100.0,1.47,False,Direct Bank Transfer,4147768853.88
SIH26017-PRJ-000002,1289286508.74,620146810.7,48.1,69,33,2017-05-11,2024-03-22,100.0,1.77,False,Direct Bank Transfer,669139698.04
SIH26017-PRJ-000003,841648727.37,538655185.52,64.0,117,77,2024-01-27,2026-02-21,100.0,2.0,False,Mixed,302993541.85
SIH26017-PRJ-000004,1559604869.86,845305839.46,54.2,551,307,2025-02-23,2025-10-12,100.0,1.0,False,Direct Bank Transfer,714299030.4
SIH26017-PRJ-000005,5985848383.04,0.0,0.0,2086,0,,,100.0,1.34,False,Direct Bank Transfer,5985848383.04
SIH26017-PRJ-000006,1820502026.97,0.0,0.0,318,0,,,100.0,1.0,False,Direct Bank Transfer,1820502026.97
SIH26017-PRJ-000007,1675398993.57,105550136.59,6.3,1752,108,,2025-08-15,100.0,1.0,False,Direct Bank Transfer,1569848856.98
SIH26017-PRJ-000008,7937977.72,0.0,0.0,14,0,,,100.0,1.89,True,Direct Bank Transfer,7937977.72
SIH26017-PRJ-000009,13368149058.23,1203133415.24,9.0,4500,408,2026-07-17,2025-08-09,100.0,1.14,False,Land-for-Land,12165015642.99
SIH26017-PRJ-000010,10784698475.41,7063977501.39,65.5,1566,1048,2019-06-19,2026-08-15,100.0,1.44,False,Direct Bank Transfer,3720720974.02
SIH26017-PRJ-000011,362333587.14,150368438.66,41.5,35,15,2022-07-04,2024-10-28,100.0,2.0,True,Direct Bank Transfer,211965148.48
SIH26017-PRJ-000012,202287348.2,156570407.51,77.4,16,12,2017-12-10,2026-08-15,100.0,1.12,False,Direct Bank Transfer,45716940.69
SIH26017-PRJ-000013,8129747330.41,569082313.13,7.0,863,58,,2024-11-01,100.0,1.05,False,Direct Bank Transfer,7560665017.28
SIH26017-PRJ-000014,2475103208.61,1512288060.46,61.1,259,153,2023-05-16,2026-08-15,100.0,1.56,False,Mixed,962815148.15
SIH26017-PRJ-000015,44574519767.13,20548853612.65,46.1,3435,1562,2025-04-23,2025-03-24,100.0,1.8,False,Direct Bank Transfer,24025666154.48
SIH26017-PRJ-000016,574886919.18,0.0,0.0,118,0,,,100.0,1.53,False,Direct Bank Transfer,574886919.18
SIH26017-PRJ-000017,11545842.42,2724818.81,23.6,4,1,2025-08-18,2025-05-01,100.0,1.72,True,Direct Bank Transfer,8821023.61
SIH26017-PRJ-000018,2794172668.58,2310780796.92,82.7,218,189,2022-12-17,2026-08-15,100.0,1.71,False,Direct Bank Transfer,483391871.66
SIH26017-PRJ-000019,379063319.0,267997766.53,70.7,39,28,2019-01-18,2026-08-15,100.0,1.49,False,Direct Bank Transfer,111065552.47
SIH26017-PRJ-000020,933851472.13,730271851.21,78.2,55,44,2019-11-08,2026-08-15,100.0,1.4,False,Direct Bank Transfer,203579620.92
SIH26017-PRJ-000021,1024275314.28,599201058.85,58.5,101,61,2021-04-19,2025-09-03,100.0,1.55,True,Mixed,425074255.43
SIH26017-PRJ-000022,14556211013.23,7627454570.93,52.4,1468,784,2017-06-13,2026-08-15,100.0,1.77,False,Direct Bank Transfer,6928756442.3
SIH26017-PRJ-000023,27014180.68,2620375.53,9.7,21,2,2026-07-22,2025-07-22,100.0,1.53,False,Direct Bank Transfer,24393805.15
SIH26017-PRJ-000024,266849538.32,0.0,0.0,24,0,,,100.0,1.11,False,Cheque,266849538.32
SIH26017-PRJ-000025,3625484915.07,841112500.3,23.2,294,68,2026-06-14,2024-12-30,100.0,1.07,False,Direct Bank Transfer,2784372414.77
SIH26017-PRJ-000026,487570720.12,0.0,0.0,39,0,,,100.0,1.84,False,Mixed,487570720.12
SIH26017-PRJ-000027,727118055.18,427545416.45,58.8,131,77,2020-02-10,2026-08-15,100.0,1.61,False,Direct Bank Transfer,299572638.73
SIH26017-PRJ-000028,44601040364.56,0.0,0.0,2840,0,,,100.0,1.21,False,Direct Bank Transfer,44601040364.56
SIH26017-PRJ-000029,23863789915.8,10333021033.54,43.3,1651,715,2025-03-18,2025-08-16,100.0,1.14,False,Cheque,13530768882.26
