project_id,number_of_khasra_parcels,number_of_landowners,percent_land_clear_title,percent_land_disputed_ownership,percent_absentee_landowners,land_record_digitization_status,mutation_pending_percent,encumbrance_certificate_status,consent_percent_obtained,gazette_notification_status,document_completeness_percent,record_last_updated_date
SIH26017-PRJ-000001,3018,2313,69.9,33.2,14.2,Partially Digitized,27.4,Pending,60.2,Final Issued,46.5,2025-02-28
SIH26017-PRJ-000002,106,69,83.9,16.5,21.3,Fully Digitized,26.3,Clear,,Final Issued,72.1,2024-03-22
SIH26017-PRJ-000003,126,117,78.2,27.9,20.6,Not Digitized,10.1,Clear,,Final Issued,73.6,2026-02-21
SIH26017-PRJ-000004,746,551,56.3,39.4,19.0,Not Digitized,23.6,Pending,,Final Issued,56.8,2025-10-12
SIH26017-PRJ-000005,2449,2086,67.7,31.9,5.3,Fully Digitized,70.1,Pending,,Not Issued,11.1,2021-09-27
SIH26017-PRJ-000006,483,318,74.7,25.3,9.4,Partially Digitized,66.4,Pending,41.1,Not Issued,13.0,2021-04-30
SIH26017-PRJ-000007,2151,1752,64.6,31.2,16.5,Fully Digitized,36.7,Pending,,Final Issued,46.5,2025-08-15
SIH26017-PRJ-000008,18,14,81.1,22.2,15.2,Fully Digitized,54.5,Clear,,Not Issued,28.6,2022-03-16
SIH26017-PRJ-000009,5412,4500,58.5,40.4,15.6,Not Digitized,39.8,Pending,49.4,Final Issued,42.0,2025-08-09
SIH26017-PRJ-000010,2702,1566,74.1,24.9,21.0,Partially Digitized,5.0,Pending,,Final Issued,71.5,2026-08-15
SIH26017-PRJ-000011,57,35,76.7,30.8,10.0,Not Digitized,23.4,Clear,,Final Issued,66.3,2024-10-28
SIH26017-PRJ-000012,28,16,74.8,27.3,18.5,Not Digitized,5.0,Pending,,Final Issued,68.1,2026-08-15
SIH26017-PRJ-000013,1059,863,80.9,17.3,17.8,Not Digitized,43.0,Clear,,Final Issued,49.8,2024-11-01
SIH26017-PRJ-000014,294,259,80.6,21.6,13.6,Fully Digitized,5.0,Clear,,Final Issued,63.9,2026-08-15
SIH26017-PRJ-000015,6000,3435,47.7,47.9,15.2,Not Digitized,23.4,Pending,40.2,Final Issued,57.7,2025-03-24
SIH26017-PRJ-000016,188,118,63.7,39.9,13.2,Partially Digitized,44.3,Pending,,Not Issued,36.5,2025-07-19
SIH26017-PRJ-000017,6,4,52.0,55.4,18.9,Partially Digitized,35.8,Pending,,Final Issued,47.9,2025-05-01
SIH26017-PRJ-000018,279,218,48.0,53.8,14.2,Fully Digitized,5.0,Pending,,Final Issued,74.7,2026-08-15
SIH26017-PRJ-000019,63,39,70.7,36.2,19.3,Not Digitized,5.0,Pending,,Final Issued,68.4,2026-08-15
SIH26017-PRJ-000020,74,55,75.2,24.2,15.8,Not Digitized,5.0,Clear,,Final Issued,70.6,2026-08-15
SIH26017-PRJ-000021,108,101,76.9,27.8,11.1,Fully Digitized,11.4,Clear,,Final Issued,73.5,2025-09-03
SIH26017-PRJ-000022,2363,1468,64.1,35.5,34.4,Fully Digitized,5.0,Pending,,Final Issued,77.4,2026-08-15
SIH26017-PRJ-000023,22,21,76.0,35.0,13.7,Not Digitized,47.6,Clear,,Final Issued,45.0,2025-07-22
SIH26017-PRJ-000024,31,24,64.8,34.5,19.6,Fully Digitized,79.6,Pending,,Not Issued,13.8,2019-06-24
