project_id,case_id,case_type,court_level,filing_date,status,stay_order_active_flag,expected_resolution_date,actual_resolution_date,impact_on_project,number_of_petitioners
SIH26017-PRJ-000007,SIH26017-PRJ-000007-CASE-01,Compensation Quantum Dispute,District Court,2024-12-14,Disposed-in-favor,False,2025-10-10,2025-09-23,Low,1
SIH26017-PRJ-000007,SIH26017-PRJ-000007-CASE-02,Land Acquisition Validity,District Court,2024-11-25,Pending,False,2025-09-21,,High,3
SIH26017-PRJ-000008,SIH26017-PRJ-000008-CASE-01,Compensation Quantum Dispute,District Court,2025-12-27,Pending,False,2026-10-23,,Low,1
SIH26017-PRJ-000009,SIH26017-PRJ-000009-CASE-01,Public Interest Litigation,Supreme Court,2025-03-28,Pending,False,2027-11-03,,High,17
SIH26017-PRJ-000009,SIH26017-PRJ-000009-CASE-02,Environmental Challenge,High Court,2026-01-14,Pending,True,2027-09-06,,High,3
SIH26017-PRJ-000011,SIH26017-PRJ-000011-CASE-01,Compensation Quantum Dispute,High Court,2021-10-08,Pending,False,2023-05-31,,High,2
SIH26017-PRJ-000014,SIH26017-PRJ-000014-CASE-01,Title Dispute,Supreme Court,2022-03-30,Disposed-in-favor,False,2024-11-04,2023-10-28,High,1
SIH26017-PRJ-000015,SIH26017-PRJ-000015-CASE-01,Title Dispute,District Court,2024-03-11,Disposed-in-favor,False,2025-01-05,2024-08-12,Low,9
SIH26017-PRJ-000017,SIH26017-PRJ-000017-CASE-01,Compensation Quantum Dispute,LA Authority/Tribunal,2025-12-12,Pending,False,2026-07-20,,Low,2
SIH26017-PRJ-000019,SIH26017-PRJ-000019-CASE-01,Public Interest Litigation,LA Authority/Tribunal,2019-01-22,Disposed-in-favor,False,2019-08-30,2019-10-21,Medium,18
SIH26017-PRJ-000021,SIH26017-PRJ-000021-CASE-01,Compensation Quantum Dispute,Supreme Court,2020-11-12,Pending,True,2023-06-20,,High,3
SIH26017-PRJ-000022,SIH26017-PRJ-000022-CASE-01,Compensation Quantum Dispute,High Court,2024-01-13,Disposed-against,False,2025-09-04,2024-08-29,High,4
SIH26017-PRJ-000023,SIH26017-PRJ-000023-CASE-01,Public Interest Litigation,District Court,2030-04-05,Pending,False,2031-01-30,,Low,18
SIH26017-PRJ-000024,SIH26017-PRJ-000024-CASE-01,Compensation Quantum Dispute,LA Authority/Tribunal,2022-01-25,Disposed-against,False,2022-09-02,2022-09-22,Medium,5
SIH26017-PRJ-000024,SIH26017-PRJ-000024-CASE-02,Others,Supreme Court,2023-12-04,Pending,False,2026-07-11,,High,1
SIH26017-PRJ-000025,SIH26017-PRJ-000025-CASE-01,Title Dispute,District Court,2025-04-22,Disposed-against,False,2026-02-16,2026-01-28,Medium,2
SIH26017-PRJ-000027,SIH26017-PRJ-000027-CASE-01,Public Interest Litigation,District Court,2022-02-06,Withdrawn,False,2022-12-03,2025-03-23,Medium,19
SIH26017-PRJ-000027,SIH26017-PRJ-000027-CASE-02,Compensation Quantum Dispute,LA Authority/Tribunal,2022-03-24,Disposed-in-favor,False,2022-10-30,2022-07-02,Medium,2
SIH26017-PRJ-000028,SIH26017-PRJ-000028-CASE-01,Land Acquisition Validity,LA Authority/Tribunal,2020-10-18,Pending,False,2021-05-26,,High,2
SIH26017-PRJ-000029,SIH26017-PRJ-000029-CASE-01,Public Interest Litigation,High Court,2024-05-07,Pending,True,2025-12-28,,High,20
SIH26017-PRJ-000030,SIH26017-PRJ-000030-CASE-01,Compensation Quantum Dispute,District Court,2024-07-02,Disposed-in-favor,False,2025-04-28,2025-07-18,Medium,3
SIH26017-PRJ-000030,SIH26017-PRJ-000030-CASE-02,Title Dispute,District Court,2026-01-06,Pending,False,2026-11-02,,Medium,1
SIH26017-PRJ-000032,SIH26017-PRJ-000032-CASE-01,Others,Supreme Court,2018-08-26,Pending,False,2021-04-02,,High,3
SIH26017-PRJ-000032,SIH26017-PRJ-000032-CASE-02,Title Dispute,LA Authority/Tribunal,2023-12-24,Pending,False,2024-07-31,,Medium,1
