project_id,actual_land_acquisition_completion_date,project_status_current,land_acquisition_delay_days,land_acquisition_delay_category,resolution_known_date,outcome_as_of_date
SIH26017-PRJ-000001,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000002,,Stalled,,Stalled-Abandoned,2019-05-13,2026-08-15
SIH26017-PRJ-000003,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000004,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000005,,Stalled,,Stalled-Abandoned,2022-05-26,2026-08-15
SIH26017-PRJ-000006,,Stalled,,Stalled-Abandoned,2021-01-24,2026-08-15
SIH26017-PRJ-000007,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000008,,Stalled,,Stalled-Abandoned,2021-05-07,2026-08-15
SIH26017-PRJ-000009,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000010,2023-08-10,Completed,178.0,Minor Delay (<=6mo),2023-08-10,2026-08-15
SIH26017-PRJ-000011,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000012,2019-09-27,Completed,11.0,On-Time,2019-09-27,2026-08-15
SIH26017-PRJ-000013,,Stalled,,Stalled-Abandoned,2025-08-02,2026-08-15
SIH26017-PRJ-000014,2024-07-06,Completed,6.0,On-Time,2024-07-06,2026-08-15
SIH26017-PRJ-000015,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000016,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000017,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000018,2024-08-10,Completed,66.0,Minor Delay (<=6mo),2024-08-10,2026-08-15
SIH26017-PRJ-000019,2020-08-12,Completed,83.0,Minor Delay (<=6mo),2020-08-12,2026-08-15
SIH26017-PRJ-000020,2022-08-10,Completed,85.0,Minor Delay (<=6mo),2022-08-10,2026-08-15
SIH26017-PRJ-000021,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000022,2025-04-20,Completed,453.0,Major Delay (6-18mo),2025-04-20,2026-08-15
SIH26017-PRJ-000023,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000024,,Stalled,,Stalled-Abandoned,2019-06-29,2026-08-15
SIH26017-PRJ-000025,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000026,,Stalled,,Stalled-Abandoned,2019-06-27,2026-08-15
SIH26017-PRJ-000027,2023-10-06,Completed,296.0,Major Delay (6-18mo),2023-10-06,2026-08-15
SIH26017-PRJ-000028,,Stalled,,Stalled-Abandoned,2017-10-17,2026-08-15
SIH26017-PRJ-000029,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000030,2026-06-15,Completed,81.0,Minor Delay (<=6mo),2026-06-15,2026-08-15
SIH26017-PRJ-000031,,Stalled,,Stalled-Abandoned,2025-03-25,2026-08-15
SIH26017-PRJ-000032,,Stalled,,Stalled-Abandoned,2018-12-03,2026-08-15
SIH26017-PRJ-000033,2025-07-19,Completed,22.0,On-Time,2025-07-19,2026-08-15
SIH26017-PRJ-000034,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000035,2020-03-06,Completed,28.0,On-Time,2020-03-06,2026-08-15
SIH26017-PRJ-000036,2021-08-09,Completed,-3.0,On-Time,2021-08-09,2026-08-15
SIH26017-PRJ-000037,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000038,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000039,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000040,,Stalled,,Stalled-Abandoned,2021-11-09,2026-08-15
SIH26017-PRJ-000041,2023-12-05,Completed,62.0,Minor Delay (<=6mo),2023-12-05,2026-08-15
SIH26017-PRJ-000042,2021-01-22,Completed,14.0,On-Time,2021-01-22,2026-08-15
SIH26017-PRJ-000043,,Stalled,,Stalled-Abandoned,2022-12-03,2026-08-15
SIH26017-PRJ-000044,2020-03-25,Completed,-25.0,On-Time,2020-03-25,2026-08-15
SIH26017-PRJ-000045,2022-01-27,Completed,81.0,Minor Delay (<=6mo),2022-01-27,2026-08-15
SIH26017-PRJ-000046,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000047,2025-04-07,Completed,180.0,Minor Delay (<=6mo),2025-04-07,2026-08-15
SIH26017-PRJ-000048,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000049,2017-05-09,Completed,34.0,Minor Delay (<=6mo),2017-05-09,2026-08-15
SIH26017-PRJ-000050,2024-04-17,Completed,109.0,Minor Delay (<=6mo),2024-04-17,2026-08-15
SIH26017-PRJ-000051,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000052,,Stalled,,Stalled-Abandoned,2025-11-06,2026-08-15
SIH26017-PRJ-000053,2021-10-16,Completed,17.0,On-Time,2021-10-16,2026-08-15
SIH26017-PRJ-000054,2020-09-27,Completed,123.0,Minor Delay (<=6mo),2020-09-27,2026-08-15
SIH26017-PRJ-000055,,Stalled,,Stalled-Abandoned,2023-12-07,2026-08-15
SIH26017-PRJ-000056,2023-11-16,Completed,75.0,Minor Delay (<=6mo),2023-11-16,2026-08-15
SIH26017-PRJ-000057,,Stalled,,Stalled-Abandoned,2022-12-06,2026-08-15
SIH26017-PRJ-000058,,Stalled,,Stalled-Abandoned,2025-12-28,2026-08-15
SIH26017-PRJ-000059,,Stalled,,Stalled-Abandoned,2020-02-03,2026-08-15
SIH26017-PRJ-000060,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000061,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000062,2025-05-05,Completed,30.0,On-Time,2025-05-05,2026-08-15
SIH26017-PRJ-000063,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000064,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000065,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000066,2024-11-25,Completed,-28.0,On-Time,2024-11-25,2026-08-15
SIH26017-PRJ-000067,2019-11-17,Completed,129.0,Minor Delay (<=6mo),2019-11-17,2026-08-15
SIH26017-PRJ-000068,2026-03-11,Completed,290.0,Major Delay (6-18mo),2026-03-11,2026-08-15
SIH26017-PRJ-000069,2021-07-10,Completed,93.0,Minor Delay (<=6mo),2021-07-10,2026-08-15
SIH26017-PRJ-000070,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000071,2025-03-21,Completed,78.0,Minor Delay (<=6mo),2025-03-21,2026-08-15
SIH26017-PRJ-000072,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000073,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000074,2020-07-26,Completed,81.0,Minor Delay (<=6mo),2020-07-26,2026-08-15
SIH26017-PRJ-000075,2023-06-29,Completed,59.0,Minor Delay (<=6mo),2023-06-29,2026-08-15
SIH26017-PRJ-000076,2022-08-09,Completed,38.0,Minor Delay (<=6mo),2022-08-09,2026-08-15
SIH26017-PRJ-000077,2018-12-15,Completed,19.0,On-Time,2018-12-15,2026-08-15
SIH26017-PRJ-000078,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000079,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000080,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000081,2024-04-22,Completed,60.0,Minor Delay (<=6mo),2024-04-22,2026-08-15
SIH26017-PRJ-000082,,Stalled,,Stalled-Abandoned,2025-03-08,2026-08-15
SIH26017-PRJ-000083,2023-03-26,Completed,25.0,On-Time,2023-03-26,2026-08-15
SIH26017-PRJ-000084,2025-04-14,Completed,95.0,Minor Delay (<=6mo),2025-04-14,2026-08-15
SIH26017-PRJ-000085,2026-07-19,Completed,7.0,On-Time,2026-07-19,2026-08-15
SIH26017-PRJ-000086,2025-06-20,Completed,12.0,On-Time,2025-06-20,2026-08-15
SIH26017-PRJ-000087,,Stalled,,Stalled-Abandoned,2025-09-03,2026-08-15
SIH26017-PRJ-000088,2023-12-15,Completed,53.0,Minor Delay (<=6mo),2023-12-15,2026-08-15
SIH26017-PRJ-000089,2025-12-28,Completed,246.0,Major Delay (6-18mo),2025-12-28,2026-08-15
SIH26017-PRJ-000090,2024-07-24,Completed,3.0,On-Time,2024-07-24,2026-08-15
SIH26017-PRJ-000091,,Stalled,,Stalled-Abandoned,2024-04-21,2026-08-15
SIH26017-PRJ-000092,2024-01-02,Completed,-24.0,On-Time,2024-01-02,2026-08-15
SIH26017-PRJ-000093,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000094,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000095,,Stalled,,Stalled-Abandoned,2023-05-13,2026-08-15
SIH26017-PRJ-000096,2021-01-23,Completed,84.0,Minor Delay (<=6mo),2021-01-23,2026-08-15
SIH26017-PRJ-000097,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000098,2026-04-27,Completed,19.0,On-Time,2026-04-27,2026-08-15
SIH26017-PRJ-000099,2021-09-29,Completed,-28.0,On-Time,2021-09-29,2026-08-15
SIH26017-PRJ-000100,,Stalled,,Stalled-Abandoned,2023-11-27,2026-08-15
SIH26017-PRJ-000101,2022-02-07,Completed,279.0,Major Delay (6-18mo),2022-02-07,2026-08-15
SIH26017-PRJ-000102,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000103,,Stalled,,Stalled-Abandoned,2017-11-16,2026-08-15
SIH26017-PRJ-000104,,Stalled,,Stalled-Abandoned,2025-11-02,2026-08-15
SIH26017-PRJ-000105,,Ongoing,,,,2026-08-15
