snapshot_id,project_id,snapshot_date,state,district,project_type,implementing_agency,project_geometry_type,applicable_land_acquisition_act,total_land_required_hectares,number_of_villages_affected,estimated_project_cost_inr_crore,land_type_required,tribal_area_flag,project_sanction_date,planned_land_acquisition_completion_date,planned_land_acquisition_duration_days,days_since_sanction_at_snapshot,current_stage_number,current_stage_name,percent_stages_completed_as_of_snapshot,cumulative_stage_delay_days_as_of_snapshot,approvals_required_count,approvals_approved_count_as_of_snapshot,approvals_pending_count_as_of_snapshot,critical_approval_pending_flag_as_of_snapshot,percent_compensation_disbursed_as_of_snapshot,compensation_dispute_flag_as_of_snapshot,active_legal_cases_count_as_of_snapshot,stay_order_active_flag_as_of_snapshot,high_court_or_above_case_flag_as_of_snapshot,percent_land_clear_title,percent_land_disputed_ownership,consent_percent_obtained,land_record_digitization_status,number_of_displaced_families,percent_families_resettled_as_of_snapshot,rr_plan_approved_flag_as_of_snapshot,rr_grievance_backlog_as_of_snapshot,public_hearing_objections_count,political_sensitivity_index,local_body_resolution_status,officer_turnover_count_as_of_snapshot,funds_availability_status_as_of_snapshot,budget_utilization_percent_as_of_snapshot,e_governance_system_used_flag,state_historical_avg_delay_days,agency_historical_completion_rate,project_type_historical_delay_rate,next_stage_at_snapshot,next_stage_name_at_snapshot,heuristic_risk_score,risk_tier,project_latitude,project_longitude,recommended_split,target_is_delayed_beyond_6mo,target_land_acquisition_delay_category_final,target_land_acquisition_delay_days_final,target_known_flag,target_next_stage_delay_flag,target_next_stage_delay_days,target_next_stage_known_flag
SNAP-000001-1,SIH26017-PRJ-000001,2023-05-07,Tamil Nadu,Chennai,Renewable Energy Park,State Renewable Energy Agency,Area,"RFCTLARR Act, 2013",1931.83,62,7629.26,Agricultural,False,2022-03-31,2029-12-04,2805,402,2,Social Impact Assessment (SIA),11.1,32,5,3,1,True,0.0,False,0,False,False,69.8,32.3,60.2,Partially Digitized,174,0.0,False,4,57,Medium,Neutral,1,Insufficient,13.9,True,37.0,56.5,73.9,2,Social Impact Assessment (SIA),32.2,Medium,13.13531,80.12617,train,,,,False,True,219.0,True
SNAP-000001-2,SIH26017-PRJ-000001,2024-08-15,Tamil Nadu,Chennai,Renewable Energy Park,State Renewable Energy Agency,Area,"RFCTLARR Act, 2013",1931.83,62,7629.26,Agricultural,False,2022-03-31,2029-12-04,2805,868,4,Draft Declaration,33.3,471,5,4,0,False,0.0,False,0,False,False,68.9,32.1,60.2,Partially Digitized,174,0.0,True,10,57,Medium,Neutral,5,Delayed,33.2,True,36.3,56.2,68.8,4,Draft Declaration,46.5,Medium,13.13531,80.12617,train,,,,False,True,214.0,True
SNAP-000001-3,SIH26017-PRJ-000001,2025-08-25,Tamil Nadu,Chennai,Renewable Energy Park,State Renewable Energy Agency,Area,"RFCTLARR Act, 2013",1931.83,62,7629.26,Agricultural,False,2022-03-31,2029-12-04,2805,1243,5,Final Declaration (Sec 19),44.4,685,5,4,0,False,6.3,False,0,False,False,67.9,31.9,60.2,Partially Digitized,174,0.8,True,13,57,Medium,Neutral,2,Delayed,37.8,True,50.1,57.9,71.1,5,Final Declaration (Sec 19),46.2,Medium,13.13531,80.12617,train,,,,False,True,276.0,True
SNAP-000002-1,SIH26017-PRJ-000002,2016-11-23,Rajasthan,Udaipur,Power Transmission Line,POWERGRID/State Transco,Linear,"RFCTLARR Act, 2013",52.83,2,259.56,Mixed,False,2015-10-28,2018-11-01,1100,392,4,Draft Declaration,33.3,136,3,3,0,False,0.0,False,0,False,False,83.1,16.3,,Fully Digitized,36,0.0,True,1,6,Low,Opposing,1,Delayed,23.5,True,,,,4,Draft Declaration,26.9,Low,24.60689,73.713,test,,,,True,False,14.0,True
SNAP-000003-1,SIH26017-PRJ-000003,2023-09-07,Chhattisgarh,Raipur,Power Transmission Line,POWERGRID/State Transco,Linear,"RFCTLARR Act, 2013",101.12,3,1435.65,Homestead-Residential,False,2022-04-19,2026-12-08,1694,506,3,Survey & Measurement,33.3,260,4,3,1,True,0.0,False,0,False,False,73.1,28.5,,Not Digitized,57,0.0,True,2,7,Medium,Neutral,2,Insufficient,26.2,False,57.5,71.4,54.3,4,Draft Declaration,44.2,Medium,21.17737,81.58085,train,,,,False,False,18.0,True
SNAP-000003-2,SIH26017-PRJ-000003,2025-02-28,Chhattisgarh,Raipur,Power Transmission Line,POWERGRID/State Transco,Linear,"RFCTLARR Act, 2013",101.12,3,1435.65,Homestead-Residential,False,2022-04-19,2026-12-08,1694,1046,7,Compensation Disbursement,66.7,464,4,4,0,False,43.7,False,0,False,False,73.4,27.9,,Not Digitized,57,38.5,True,5,7,Medium,Neutral,3,Delayed,73.3,False,58.3,64.3,59.5,7,Compensation Disbursement,32.9,Medium,21.17737,81.58085,train,,,,False,True,319.0,True
SNAP-000004-1,SIH26017-PRJ-000004,2025-10-07,Tamil Nadu,Chennai,Railway Line/Doubling,Indian Railways,Linear,"Railways Act, 1989",448.89,16,2060.92,Agricultural,False,2022-11-03,2028-03-15,1959,1069,7,Compensation Disbursement,66.7,417,5,5,0,False,53.0,False,0,False,False,55.8,37.7,,Not Digitized,32,40.6,True,3,15,Medium,Opposing,4,Delayed,42.9,False,51.3,54.2,79.2,7,Compensation Disbursement,41.4,Medium,13.03551,80.27998,train,,,,False,,,False
SNAP-000005-1,SIH26017-PRJ-000005,2021-03-06,Odisha,Khordha,Mining Project,State Mining Corp,Area,"Coal Bearing Areas Acquisition Act, 1957",1760.4,29,6720.04,Agricultural,False,2020-05-05,2021-11-11,555,305,2,Social Impact Assessment (SIA),11.1,35,5,3,2,True,0.0,False,0,False,False,68.7,31.5,,Fully Digitized,614,0.0,False,14,28,Medium,Opposing,2,Insufficient,12.9,True,81.5,50.0,50.0,2,Social Impact Assessment (SIA),32.7,Medium,20.29242,85.57727,train,,,,True,True,263.0,True
SNAP-000006-1,SIH26017-PRJ-000006,2020-10-24,Bihar,Gaya,Renewable Energy Park,State Renewable Energy Agency,Area,"RFCTLARR Act, 2013",261.15,7,2949.99,Agricultural,False,2019-10-26,2020-07-16,264,364,2,Social Impact Assessment (SIA),22.2,33,4,3,1,True,0.0,False,0,False,False,76.5,25.3,41.1,Partially Digitized,21,0.0,True,0,8,Low,Supportive,4,Adequate,18.6,False,20.4,50.0,62.5,3,Survey & Measurement,29.8,Low,24.89187,85.09984,train,,,,True,True,,True
SNAP-000007-1,SIH26017-PRJ-000007,2025-10-20,Assam,Kamrup,Airport Expansion,Airports Authority of India,Point,"RFCTLARR Act, 2013",1446.66,47,15727.3,Government-Wasteland,False,2024-05-16,2026-09-16,853,522,4,Draft Declaration,33.3,135,5,4,1,True,0.0,False,1,False,False,64.5,29.5,,Fully Digitized,117,0.0,True,7,38,Low,Opposing,3,Delayed,32.7,True,85.1,30.0,90.0,4,Draft Declaration,46.2,Medium,26.06212,91.80452,test,,,,False,True,103.0,True
SNAP-000008-1,SIH26017-PRJ-000008,2020-06-22,Bihar,Muzaffarpur,Urban Water Supply/Sewerage,State Water/Municipal Board,Point,"RFCTLARR Act, 2013",7.97,1,150.64,Homestead-Residential,False,2019-12-31,2020-11-11,316,174,3,Survey & Measurement,22.2,-10,3,3,0,False,0.0,False,0,False,False,78.9,22.4,,Fully Digitized,4,0.0,True,0,8,Low,Neutral,1,Delayed,14.7,True,24.3,65.0,40.0,3,Survey & Measurement,17.0,Low,26.08314,85.53281,train,,,,True,False,23.0,True
