project_id,project_name,state,district,project_type,implementing_agency,project_geometry_type,applicable_land_acquisition_act,total_land_required_hectares,number_of_villages_affected,estimated_project_cost_inr_crore,land_type_required,tribal_area_flag,project_sanction_date,planned_land_acquisition_completion_date,planned_land_acquisition_duration_days
SIH26017-PRJ-000001,Renewable Energy Park Project - Chennai (0001),Tamil Nadu,Chennai,Renewable Energy Park,State Renewable Energy Agency,Area,"RFCTLARR Act, 2013",1931.83,62,7629.26,Agricultural,False,2022-03-31,2029-12-04,2805
SIH26017-PRJ-000002,Power Transmission Line Project - Udaipur (0002),Rajasthan,Udaipur,Power Transmission Line,POWERGRID/State Transco,Linear,"RFCTLARR Act, 2013",52.83,2,259.56,Mixed,False,2015-10-28,2018-11-01,1100
SIH26017-PRJ-000003,Power Transmission Line Project - Raipur (0003),Chhattisgarh,Raipur,Power Transmission Line,POWERGRID/State Transco,Linear,"RFCTLARR Act, 2013",101.12,3,1435.65,Homestead-Residential,False,2022-04-19,2026-12-08,1694
SIH26017-PRJ-000004,Railway Line/Doubling Project - Chennai (0004),Tamil Nadu,Chennai,Railway Line/Doubling,Indian Railways,Linear,"Railways Act, 1989",448.89,16,2060.92,Agricultural,False,2022-11-03,2028-03-15,1959
SIH26017-PRJ-000005,Mining Project Project - Khordha (0005),Odisha,Khordha,Mining Project,State Mining Corp,Area,"Coal Bearing Areas Acquisition Act, 1957",1760.4,29,6720.04,Agricultural,False,2020-05-05,2021-11-11,555
SIH26017-PRJ-000006,Renewable Energy Park Project - Gaya (0006),Bihar,Gaya,Renewable Energy Park,State Renewable Energy Agency,Area,"RFCTLARR Act, 2013",261.15,7,2949.99,Agricultural,False,2019-10-26,2020-07-16,264
SIH26017-PRJ-000007,Airport Expansion Project - Kamrup (0007),Assam,Kamrup,Airport Expansion,Airports Authority of India,Point,"RFCTLARR Act, 2013",1446.66,47,15727.3,Government-Wasteland,False,2024-05-16,2026-09-16,853
SIH26017-PRJ-000008,Urban Water Supply/Sewerage Project - Muzaffarpur (0008),Bihar,Muzaffarpur,Urban Water Supply/Sewerage,State Water/Municipal Board,Point,"RFCTLARR Act, 2013",7.97,1,150.64,Homestead-Residential,False,2019-12-31,2020-11-11,316
SIH26017-PRJ-000009,Industrial Corridor Project - Belagavi (0009),Karnataka,Belagavi,Industrial Corridor,State Industrial Dev. Corp,Area,"RFCTLARR Act, 2013",3816.27,96,19676.63,Agricultural,False,2024-02-27,2027-05-22,1180
SIH26017-PRJ-000010,Mining Project Project - Varanasi (0010),Uttar Pradesh,Varanasi,Mining Project,State Mining Corp,Area,"Coal Bearing Areas Acquisition Act, 1957",1318.27,36,3975.8,Forest,False,2016-07-28,2023-02-13,2391
