project_id,number_of_displaced_families,rr_plan_approved_flag,rr_plan_approval_date,resettlement_site_ready_flag,percent_families_resettled,percent_families_alternate_land_provided,livelihood_restoration_status,rr_grievances_filed,rr_grievances_resolved,social_infra_readiness_score
SIH26017-PRJ-000001,174,True,2023-06-07,False,16.9,,In Progress,28,12,0.9
SIH26017-PRJ-000002,36,True,2016-07-26,True,52.5,,In Progress,6,3,1.7
SIH26017-PRJ-000003,57,True,2023-05-21,True,63.3,34.0,Completed,11,5,2.6
SIH26017-PRJ-000004,32,True,2023-11-20,False,44.2,,In Progress,6,3,1.3
SIH26017-PRJ-000005,614,True,2021-09-12,False,0.0,,Not Started,22,8,0.0
SIH26017-PRJ-000006,21,True,2020-05-21,False,0.0,0.0,Not Started,0,0,0.0
SIH26017-PRJ-000007,117,True,2025-03-15,False,1.1,,In Progress,15,6,0.2
SIH26017-PRJ-000008,4,True,2020-06-19,False,0.0,,Not Started,0,0,0.0
SIH26017-PRJ-000009,295,True,2025-02-25,False,6.9,,In Progress,42,16,0.5
SIH26017-PRJ-000010,458,True,2017-09-13,False,70.5,,Completed,99,44,2.4
SIH26017-PRJ-000011,7,True,2019-10-07,False,39.0,27.1,In Progress,1,0,1.6
SIH26017-PRJ-000012,1,True,2017-04-19,True,38.9,45.6,Completed,0,0,2.2
SIH26017-PRJ-000013,57,True,2023-06-29,False,0.8,,In Progress,6,3,0.4
SIH26017-PRJ-000014,18,True,2022-01-10,True,64.6,,Completed,4,2,1.9
SIH26017-PRJ-000015,1402,True,2022-04-14,False,33.2,,In Progress,200,76,1.5
SIH26017-PRJ-000016,46,True,2025-06-29,False,0.0,,Not Started,4,2,0.0
SIH26017-PRJ-000017,2,True,2023-07-29,False,10.6,,In Progress,0,0,1.1
SIH26017-PRJ-000018,16,True,2021-12-02,False,40.8,,Completed,4,2,3.4
SIH26017-PRJ-000019,1,True,2017-12-13,False,48.2,40.9,Completed,0,0,1.4
SIH26017-PRJ-000020,3,True,2018-08-08,True,58.7,36.4,Completed,1,0,2.4
SIH26017-PRJ-000021,9,True,2019-07-21,False,80.7,,Completed,2,1,2.6
SIH26017-PRJ-000022,609,True,2016-01-15,False,31.9,47.7,Completed,144,52,1.7
SIH26017-PRJ-000023,5,True,2025-02-10,False,5.1,0.9,In Progress,1,0,0.3
SIH26017-PRJ-000024,2,True,2018-10-27,False,0.0,0.0,Not Started,0,0,0.0
SIH26017-PRJ-000025,17,True,2023-08-11,False,14.5,8.5,In Progress,3,1,1.0
SIH26017-PRJ-000026,8,False,,False,0.0,0.0,Not Started,0,0,0.0
SIH26017-PRJ-000027,8,True,2018-09-30,False,69.9,40.9,Completed,2,1,1.6
SIH26017-PRJ-000028,1137,True,2016-04-20,False,0.0,0.0,Not Started,98,50,0.0
SIH26017-PRJ-000029,526,True,2023-09-01,True,36.7,22.3,In Progress,80,44,1.3
SIH26017-PRJ-000030,507,True,2023-09-29,True,60.8,28.8,Completed,101,53,2.7
SIH26017-PRJ-000031,356,True,2020-01-26,False,8.9,18.1,In Progress,55,24,0.8
SIH26017-PRJ-000032,27,True,2015-10-25,False,40.4,52.0,Completed,6,3,2.4
SIH26017-PRJ-000033,2,True,2022-12-06,True,66.3,,Completed,0,0,2.6
SIH26017-PRJ-000034,90,True,2022-12-16,False,22.5,34.9,In Progress,17,7,1.2
SIH26017-PRJ-000035,9,True,2018-08-19,True,62.1,48.3,Completed,2,1,3.9
SIH26017-PRJ-000036,44,True,2018-03-20,False,51.9,49.1,Completed,10,4,2.9
SIH26017-PRJ-000037,18,True,2024-04-30,False,14.7,12.6,In Progress,3,1,1.0
SIH26017-PRJ-000038,479,True,2022-12-16,False,16.6,14.2,In Progress,77,32,1.3
SIH26017-PRJ-000039,40,True,2025-06-07,False,1.2,0.3,In Progress,5,2,0.2
SIH26017-PRJ-000040,144,True,2020-05-02,False,0.0,0.0,Not Started,9,4,0.0
SIH26017-PRJ-000041,42,True,2020-11-09,False,74.3,50.9,Completed,9,4,2.2
SIH26017-PRJ-000042,28,True,2018-08-04,True,77.3,28.2,Completed,5,3,1.7
SIH26017-PRJ-000043,24,True,2020-03-27,False,12.6,13.4,In Progress,4,2,1.1
SIH26017-PRJ-000044,2,True,2019-02-25,True,88.7,,Completed,0,0,3.3
SIH26017-PRJ-000045,145,True,2017-09-10,False,67.7,29.0,Completed,31,14,3.2
SIH26017-PRJ-000046,128,True,2024-02-28,False,23.3,,In Progress,24,10,1.3
SIH26017-PRJ-000047,22,True,2019-04-05,False,67.2,47.3,Completed,5,2,2.6
SIH26017-PRJ-000048,120,True,2024-01-01,False,16.3,,In Progress,18,8,1.1
SIH26017-PRJ-000049,6,True,2015-06-13,True,62.9,55.9,Completed,1,1,4.2
SIH26017-PRJ-000050,20,True,2017-10-08,False,91.2,,Completed,5,2,1.5
SIH26017-PRJ-000051,3,True,2023-03-10,True,82.2,34.3,Completed,1,1,3.5
SIH26017-PRJ-000052,12,True,2023-07-13,True,54.3,,In Progress,2,1,1.8
SIH26017-PRJ-000053,22,True,2018-07-16,True,50.3,25.6,Completed,4,2,3.6
SIH26017-PRJ-000054,1267,True,2018-02-13,False,70.3,69.7,Completed,200,89,2.0
SIH26017-PRJ-000055,352,True,2023-04-12,False,0.0,,Not Started,12,5,0.0
SIH26017-PRJ-000056,22,True,2020-05-03,False,71.6,,Completed,5,2,2.6
SIH26017-PRJ-000057,42,True,2021-10-13,False,0.0,,Not Started,3,1,0.0
SIH26017-PRJ-000058,11,True,2023-10-18,True,80.7,,Completed,2,1,4.3
SIH26017-PRJ-000059,10,True,2019-01-03,False,1.4,0.2,In Progress,1,1,0.3
SIH26017-PRJ-000060,8,True,2024-11-03,True,17.6,1.9,In Progress,1,0,1.5
SIH26017-PRJ-000061,143,True,2024-03-26,False,3.8,,In Progress,18,8,0.4
SIH26017-PRJ-000062,11,True,2021-10-10,True,74.9,58.9,Completed,2,1,2.8
SIH26017-PRJ-000063,6,True,2021-09-25,False,52.1,36.9,Completed,1,0,2.2
SIH26017-PRJ-000064,114,True,2020-06-12,False,32.6,,In Progress,22,9,2.2
SIH26017-PRJ-000065,9,True,2022-02-15,False,56.1,43.2,Completed,2,1,1.1
SIH26017-PRJ-000066,12,True,2023-12-21,True,83.4,35.2,Completed,2,2,4.4
SIH26017-PRJ-000067,11,True,2017-08-05,True,36.3,,Completed,2,1,2.4
SIH26017-PRJ-000068,166,True,2019-03-18,False,85.0,,Completed,39,15,3.5
SIH26017-PRJ-000069,13,True,2017-06-09,False,89.2,36.8,Completed,3,1,2.9
SIH26017-PRJ-000070,104,True,2024-02-05,True,51.7,23.1,In Progress,16,9,1.8
SIH26017-PRJ-000071,288,True,2018-11-11,False,55.5,47.0,Completed,64,27,3.4
SIH26017-PRJ-000072,2,True,2026-04-06,False,0.0,0.0,Not Started,0,0,0.0
SIH26017-PRJ-000073,59,True,2024-07-05,False,18.3,5.4,In Progress,9,4,0.8
SIH26017-PRJ-000074,0,True,2017-05-28,True,0.0,,Completed,0,0,1.6
SIH26017-PRJ-000075,5,True,2020-01-08,True,77.4,,Completed,1,1,2.1
SIH26017-PRJ-000076,21,True,2020-10-23,True,71.5,24.9,Completed,4,2,2.9
SIH26017-PRJ-000077,4,True,2016-02-21,False,73.8,57.5,Completed,1,0,2.3
SIH26017-PRJ-000078,353,True,2023-08-06,False,22.5,11.3,In Progress,56,23,0.6
SIH26017-PRJ-000079,83,True,2018-12-14,False,60.0,58.0,Completed,18,8,3.4
SIH26017-PRJ-000080,17,True,2020-01-23,False,76.5,,Completed,4,2,2.5
SIH26017-PRJ-000081,105,True,2020-03-28,False,43.1,68.9,Completed,24,9,1.7
SIH26017-PRJ-000082,442,True,2023-10-10,False,0.0,,Not Started,39,19,0.0
SIH26017-PRJ-000083,125,True,2020-07-04,False,98.3,27.8,Completed,27,12,2.7
SIH26017-PRJ-000084,211,True,2021-01-22,True,85.5,69.8,Completed,42,22,3.8
SIH26017-PRJ-000085,1216,True,2024-05-28,True,75.4,56.8,Completed,200,116,3.2
SIH26017-PRJ-000086,70,True,2023-08-27,True,84.5,,Completed,13,7,2.9
SIH26017-PRJ-000087,75,True,2020-05-22,False,35.2,19.1,In Progress,14,6,0.9
SIH26017-PRJ-000088,65,True,2020-03-27,True,76.8,53.0,Completed,12,7,2.5
SIH26017-PRJ-000089,1203,True,2016-09-17,False,58.2,,Completed,200,89,3.0
SIH26017-PRJ-000090,1,True,2023-08-19,True,79.2,,Completed,0,0,4.4
SIH26017-PRJ-000091,164,True,2023-04-17,False,0.0,,Not Started,11,4,0.0
SIH26017-PRJ-000092,35,True,2023-01-10,True,70.7,,Completed,4,3,5.0
SIH26017-PRJ-000093,434,True,2024-05-12,False,1.0,0.5,In Progress,57,23,0.3
SIH26017-PRJ-000094,45,True,2023-10-25,False,13.6,8.8,In Progress,7,3,0.9
SIH26017-PRJ-000095,65,True,2019-12-07,False,0.0,,Not Started,6,2,0.0
SIH26017-PRJ-000096,22,True,2018-06-05,True,72.2,43.5,Completed,4,2,3.7
SIH26017-PRJ-000097,407,True,2026-05-08,False,0.0,0.0,Not Started,27,11,0.0
SIH26017-PRJ-000098,14,True,2023-01-25,True,74.1,,Completed,3,2,3.4
SIH26017-PRJ-000099,10,True,2020-05-16,True,79.8,43.0,Completed,2,1,4.3
SIH26017-PRJ-000100,162,True,2023-03-18,False,0.0,,Not Started,6,3,0.0
SIH26017-PRJ-000101,18,True,2018-07-05,True,57.7,,Completed,4,2,1.9
SIH26017-PRJ-000102,394,True,2022-12-04,False,34.4,,In Progress,81,32,1.5
SIH26017-PRJ-000103,4,False,,False,0.0,0.0,Not Started,0,0,0.0
SIH26017-PRJ-000104,19,True,2024-03-29,False,1.2,,In Progress,2,1,0.5
SIH26017-PRJ-000105,1,True,2023-06-12,True,44.5,,In Progress,0,0,1.7
SIH26017-PRJ-000106,29,True,2017-12-05,False,71.3,25.1,Completed,6,3,2.7
SIH26017-PRJ-000107,4,True,2021-04-03,False,17.5,,In Progress,1,0,0.9
SIH26017-PRJ-000108,586,True,2025-03-23,False,0.0,,Not Started,57,23,0.0
SIH26017-PRJ-000109,34,True,2022-12-28,True,86.7,62.1,Completed,6,4,2.9
SIH26017-PRJ-000110,126,True,2021-08-20,False,41.7,10.2,In Progress,26,10,1.0
SIH26017-PRJ-000111,2,True,2023-04-25,True,67.8,,Completed,0,0,3.6
SIH26017-PRJ-000112,19,True,2016-06-23,True,69.7,37.2,Completed,3,2,2.9
SIH26017-PRJ-000113,30,True,2025-07-11,False,0.0,0.0,Not Started,2,1,0.0
SIH26017-PRJ-000114,147,True,2019-06-18,True,73.6,,Completed,28,16,4.8
SIH26017-PRJ-000115,2,True,2017-07-22,True,53.9,29.5,Completed,0,0,4.0
SIH26017-PRJ-000116,13,True,2019-02-07,True,80.5,43.6,Completed,2,1,3.7
