project_id,stage_id,stage_name,planned_start_date,planned_end_date,actual_start_date,actual_end_date,status,percent_complete,delay_days,stage_owner_department
SIH26017-PRJ-000001,1,Preliminary Notification (Sec 11),2022-03-31,2022-06-04,2022-03-31,2022-07-06,Completed,100.0,32.0,District Collectorate
SIH26017-PRJ-000001,2,Social Impact Assessment (SIA),2022-07-09,2022-10-21,2022-07-09,2023-05-28,Completed,100.0,219.0,District Collectorate
SIH26017-PRJ-000001,3,Survey & Measurement,2023-06-01,2023-08-09,2023-06-01,2024-03-16,Completed,100.0,220.0,LA Branch
SIH26017-PRJ-000001,4,Draft Declaration,2024-03-21,2024-05-18,2024-03-21,2024-12-18,Completed,100.0,214.0,LA Branch
SIH26017-PRJ-000001,5,Final Declaration (Sec 19),2024-12-22,2025-03-08,2024-12-22,2025-12-09,Completed,100.0,276.0,District Collectorate
SIH26017-PRJ-000001,6,Award Declaration (Sec 23),2025-12-14,2026-03-18,2025-12-14,,In Progress,100.0,,LA Branch
SIH26017-PRJ-000001,7,Compensation Disbursement,2027-06-16,2027-11-08,,,Not Started,0.0,,District Collectorate
SIH26017-PRJ-000001,8,Possession,2028-09-11,2028-12-03,,,Not Started,0.0,,Implementing Agency
SIH26017-PRJ-000001,9,Mutation & Handover,2029-10-11,2029-12-04,,,Not Started,0.0,,LA Branch
SIH26017-PRJ-000002,1,Preliminary Notification (Sec 11),2015-10-28,2015-12-21,2015-10-28,2016-01-04,Completed,100.0,14.0,District Collectorate
SIH26017-PRJ-000002,2,Social Impact Assessment (SIA),2016-01-05,2016-04-09,2016-01-05,2016-07-16,Completed,100.0,98.0,District Collectorate
SIH26017-PRJ-000002,3,Survey & Measurement,2016-07-24,2016-10-17,2016-07-24,2016-11-10,Completed,100.0,24.0,LA Branch
SIH26017-PRJ-000002,4,Draft Declaration,2016-11-11,2017-01-03,2016-11-11,2017-01-17,Completed,100.0,14.0,LA Branch
SIH26017-PRJ-000002,5,Final Declaration (Sec 19),2017-01-20,2017-03-29,2017-01-20,2017-05-07,Completed,100.0,39.0,Revenue Dept
SIH26017-PRJ-000002,6,Award Declaration (Sec 23),2017-05-11,2017-07-29,2017-05-11,2017-08-20,Completed,100.0,22.0,Revenue Dept
SIH26017-PRJ-000002,7,Compensation Disbursement,2017-08-24,2018-01-29,2017-08-24,2018-09-10,Completed,100.0,224.0,LA Branch
SIH26017-PRJ-000002,8,Possession,2018-09-13,2018-11-14,,,Stalled,0.0,,LA Branch
