project_id,public_hearing_conducted_flag,public_hearing_date,public_hearing_objections_count,gram_sabha_consultations_count,local_body_resolution_status,political_sensitivity_index,media_coverage_intensity,ngo_opposition_flag,grievance_redressal_avg_tat_days
SIH26017-PRJ-000001,True,2022-07-29,57,0,Neutral,Medium,Low,False,50.0
SIH26017-PRJ-000002,True,2016-01-25,6,0,Opposing,Low,Medium,False,44.8
SIH26017-PRJ-000003,True,2022-11-08,7,0,Neutral,Medium,Low,False,29.1
SIH26017-PRJ-000004,True,2023-04-19,15,1,Opposing,Medium,Medium,False,40.2
SIH26017-PRJ-000005,True,2020-08-31,28,1,Opposing,Medium,Medium,False,51.4
SIH26017-PRJ-000006,True,2020-03-17,8,0,Supportive,Low,Low,False,18.6
SIH26017-PRJ-000007,True,2024-08-23,38,1,Opposing,Low,Medium,False,52.5
SIH26017-PRJ-000008,True,2020-03-12,8,1,Neutral,Low,Low,True,42.2
SIH26017-PRJ-000009,True,2024-07-05,55,1,Opposing,Medium,Low,True,52.0
SIH26017-PRJ-000010,True,2017-02-13,26,0,Opposing,Medium,Medium,False,40.6
SIH26017-PRJ-000011,True,2018-12-12,10,1,Opposing,Low,Low,True,46.2
SIH26017-PRJ-000012,True,2016-11-23,15,0,Opposing,Low,Low,True,34.7
SIH26017-PRJ-000013,True,2022-11-18,12,0,Neutral,Low,Low,False,18.7
SIH26017-PRJ-000014,True,2021-06-01,14,1,Supportive,Medium,Low,True,37.1
SIH26017-PRJ-000015,True,2021-05-30,73,0,Opposing,Low,Low,False,32.0
SIH26017-PRJ-000016,True,2024-12-09,15,1,Neutral,Medium,Medium,False,51.1
SIH26017-PRJ-000017,True,2022-12-28,8,0,Opposing,Medium,Medium,False,49.5
SIH26017-PRJ-000018,True,2021-07-07,12,0,Opposing,Low,Low,False,41.9
SIH26017-PRJ-000019,True,2017-02-14,10,1,Opposing,Medium,Low,False,46.2
SIH26017-PRJ-000020,True,2017-11-15,9,0,Opposing,Medium,Low,True,42.1
SIH26017-PRJ-000021,True,2018-10-21,8,1,Neutral,Low,Low,False,41.0
SIH26017-PRJ-000022,True,2015-04-05,30,2,Opposing,Medium,Low,True,27.3
SIH26017-PRJ-000023,True,2024-05-03,13,0,Neutral,Low,Low,False,62.7
SIH26017-PRJ-000024,True,2017-11-12,16,8,Opposing,Medium,Medium,False,58.2
SIH26017-PRJ-000025,True,2022-07-28,19,0,Neutral,Low,Low,False,37.7
SIH26017-PRJ-000026,False,,0,0,Opposing,Medium,Low,False,52.2
SIH26017-PRJ-000027,True,2018-03-26,12,1,Opposing,Low,Low,False,54.3
SIH26017-PRJ-000028,True,2015-11-29,38,0,Neutral,Low,Medium,True,45.9
SIH26017-PRJ-000029,True,2023-03-31,30,0,Opposing,Low,Low,False,66.1
SIH26017-PRJ-000030,True,2023-04-21,31,2,Opposing,Medium,Low,False,29.7
SIH26017-PRJ-000031,True,2019-04-16,21,0,Supportive,Low,Low,True,44.0
SIH26017-PRJ-000032,True,2015-07-25,11,1,Opposing,Low,Low,False,39.5
SIH26017-PRJ-000033,True,2022-09-12,11,0,Opposing,Low,Low,True,22.1
SIH26017-PRJ-000034,True,2022-03-03,26,1,Neutral,Low,Low,False,50.8
SIH26017-PRJ-000035,True,2018-03-24,14,0,Neutral,Low,Low,False,31.4
