feature,importance
numeric__planned_land_acquisition_duration_days,0.13141482350150294
numeric__cumulative_stage_delay_days_as_of_snapshot,0.06475821688319258
numeric__days_since_sanction_at_snapshot,0.05468260708676299
numeric__percent_land_clear_title,0.054051169533766395
numeric__percent_land_disputed_ownership,0.034596498843547895
numeric__project_type_historical_delay_rate,0.03188323829400745
numeric__public_hearing_objections_count,0.03185608285262112
numeric__project_longitude,0.03145368014374304
numeric__estimated_project_cost_inr_crore,0.030733982376521064
numeric__planned_land_acquisition_completion_date_month,0.028077148521887266
numeric__total_land_required_hectares,0.024662242587408605
numeric__project_sanction_date_year,0.022744523514012318
numeric__officer_turnover_count_as_of_snapshot,0.022579985684206414
numeric__number_of_displaced_families,0.022513278311385974
numeric__planned_land_acquisition_completion_date_year,0.022139844555040512
numeric__project_latitude,0.022131769141735917
numeric__number_of_villages_affected,0.02204791180434823
categorical__funds_availability_status_as_of_snapshot_Insufficient,0.021651384188481622
numeric__agency_historical_completion_rate,0.020923199956447033
numeric__rr_grievance_backlog_as_of_snapshot,0.02031247979468792
numeric__project_sanction_date_month,0.016760221149023456
numeric__state_historical_avg_delay_days,0.01646004187149523
numeric__budget_utilization_percent_as_of_snapshot,0.013656474104100369
numeric__percent_families_resettled_as_of_snapshot,0.012252357882045177
categorical__funds_availability_status_as_of_snapshot_Adequate,0.011735041946816788
numeric__snapshot_date_dayofyear,0.010693330441243086
numeric__percent_compensation_disbursed_as_of_snapshot,0.009387529339705032
categorical__local_body_resolution_status_Opposing,0.007900404808472658
numeric__approvals_approved_count_as_of_snapshot,0.006807478424777449
numeric__consent_percent_obtained,0.006429471255007695
numeric__snapshot_date_year,0.006397383318584665
categorical__project_type_Urban Water Supply/Sewerage,0.006397169423732677
categorical__implementing_agency_State Water/Municipal Board,0.006360802316194012
numeric__snapshot_date_month,0.006259001084557586
categorical__land_type_required_Homestead-Residential,0.0062320225678294955
numeric__current_stage_number,0.005745573547236816
numeric__next_stage_at_snapshot,0.005519576458939921
numeric__approvals_required_count,0.005494654344984846
categorical__local_body_resolution_status_Supportive,0.005258432183555814
numeric__percent_stages_completed_as_of_snapshot,0.005155529860907624
categorical__implementing_agency_NHAI,0.0043966858309422594
categorical__land_type_required_Agricultural,0.003407988641269943
categorical__land_record_digitization_status_Partially Digitized,0.003312389215355523
categorical__local_body_resolution_status_Neutral,0.0031839201826003964
categorical__land_record_digitization_status_Not Digitized,0.003152929087731877
categorical__funds_availability_status_as_of_snapshot_Delayed,0.0027767019121944145
categorical__project_type_Irrigation Canal/Dam,0.002721887233270545
categorical__implementing_agency_State Irrigation Dept,0.0026919985951747703
numeric__e_governance_system_used_flag,0.0026203283541564285
categorical__political_sensitivity_index_Low,0.002615486271139524
categorical__land_record_digitization_status_Fully Digitized,0.00247617733674057
categorical__next_stage_name_at_snapshot_Award Declaration (Sec 23),0.002353333015972179
"categorical__applicable_land_acquisition_act_National Highways Act, 1956",0.0023271615542864005
categorical__project_geometry_type_Point,0.002308623023216796
categorical__district_Bastar,0.002250794134899395
"categorical__applicable_land_acquisition_act_RFCTLARR Act, 2013",0.0022390189395288538
categorical__project_type_National Highway,0.002197590244454853
numeric__approvals_pending_count_as_of_snapshot,0.0021421866474839388
categorical__project_type_Renewable Energy Park,0.002134735666532895
numeric__critical_approval_pending_flag_as_of_snapshot,0.0018110870346126652
numeric__missingindicator_state_historical_avg_delay_days,0.0018067989985913527
categorical__state_Uttar Pradesh,0.0017435484403499387
categorical__land_type_required_Government-Wasteland,0.0017010277056318751
categorical__implementing_agency_State PWD,0.0016661929222929663
categorical__district_Purulia,0.001664387056987083
categorical__political_sensitivity_index_Medium,0.0016376425447737506
categorical__state_Gujarat,0.001520086607366779
categorical__current_stage_name_Compensation Disbursement,0.0014777730698874083
categorical__current_stage_name_Award Declaration (Sec 23),0.0014726521503836021
numeric__active_legal_cases_count_as_of_snapshot,0.0014181616716780804
numeric__missingindicator_project_type_historical_delay_rate,0.0014118555884899192
categorical__state_Odisha,0.0013994015824910732
categorical__state_Rajasthan,0.0013931723600840538
categorical__implementing_agency_POWERGRID/State Transco,0.0013835761304995444
categorical__state_Kerala,0.0013642032083784328
categorical__district_Thiruvananthapuram,0.001353851171723739
categorical__next_stage_name_at_snapshot_Compensation Disbursement,0.0012894307101965867
categorical__project_geometry_type_Linear,0.001286795458735381
categorical__next_stage_name_at_snapshot_Possession,0.001286156623321156
categorical__project_geometry_type_Area,0.0012858619294202742
numeric__rr_plan_approved_flag_as_of_snapshot,0.0012647673610632917
categorical__land_type_required_Mixed,0.0012564236105540836
categorical__current_stage_name_Survey & Measurement,0.0011826568428842943
categorical__district_Muzaffarpur,0.001123016245470404
numeric__missingindicator_consent_percent_obtained,0.0011045580467302183
categorical__next_stage_name_at_snapshot_Final Declaration (Sec 19),0.0010443507316396424
categorical__implementing_agency_State Industrial Dev. Corp,0.0010244383252499773
numeric__tribal_area_flag,0.0009811379447358876
numeric__missingindicator_agency_historical_completion_rate,0.0009610328533557864
categorical__state_Chhattisgarh,0.0008975142254372865
categorical__state_Bihar,0.000878577886012631
categorical__district_Khordha,0.0008722621278293973
categorical__project_type_Power Transmission Line,0.0008671995643777689
categorical__state_Madhya Pradesh,0.0008609082799045539
categorical__current_stage_name_Possession,0.0008369264627253861
categorical__project_type_State Highway,0.0008144227119553371
categorical__state_Assam,0.0007980635183252722
numeric__compensation_dispute_flag_as_of_snapshot,0.0007945274813831062
categorical__project_type_Railway Line/Doubling,0.00078516787435603
categorical__project_type_Industrial Corridor,0.0007200773792630758
categorical__land_type_required_Forest,0.0006798237723342992
categorical__current_stage_name_Draft Declaration,0.0006790876303033218
numeric__high_court_or_above_case_flag_as_of_snapshot,0.0006710262115974903
categorical__next_stage_name_at_snapshot_Social Impact Assessment (SIA),0.0005944717614313287
categorical__project_type_Airport Expansion,0.0005892506343654069
categorical__implementing_agency_State Renewable Energy Agency,0.0005573714173803645
categorical__district_Durg,0.0004964722779980833
categorical__district_Bhopal,0.0004930311570882963
"categorical__applicable_land_acquisition_act_Coal Bearing Areas Acquisition Act, 1957",0.0004826039903997723
categorical__implementing_agency_Indian Railways,0.0004807407044630211
categorical__district_Sundargarh,0.000452223214888875
categorical__implementing_agency_State SEZ Authority,0.0003975092730769761
categorical__implementing_agency_State Mining Corp,0.00037092845967353423
numeric__stay_order_active_flag_as_of_snapshot,0.0003684866641927158
categorical__political_sensitivity_index_High,0.000363421313783565
"categorical__applicable_land_acquisition_act_Railways Act, 1989",0.0003535040936821946
categorical__project_type_Special Economic Zone,0.00030642475819671507
categorical__state_West Bengal,0.00030493045241690713
categorical__district_Kamrup,0.0002781329835325104
categorical__next_stage_name_at_snapshot_Survey & Measurement,0.0002781076569188211
