feature,type,missing,correlation,safe_mean,delayed_mean
planned_land_acquisition_duration_days,numeric,0,0.43954104909883096,1364.6716417910447,2260.0526315789475
cumulative_stage_delay_days_as_of_snapshot,numeric,0,0.32255402036083053,238.39054726368158,582.6842105263158
officer_turnover_count_as_of_snapshot,numeric,0,0.29643738726053365,2.674129353233831,5.2631578947368425
total_land_required_hectares,numeric,0,0.24907786862298506,400.06791044776116,965.4650877192983
rr_grievance_backlog_as_of_snapshot,numeric,0,0.2353495763797791,6.6716417910447765,20.75438596491228
planned_land_acquisition_completion_date,date,0,0.20020633343454886,,
number_of_displaced_families,numeric,0,0.16982901883021773,112.36069651741293,245.50877192982455
project_type_historical_delay_rate,numeric,49,0.16579518728568304,62.39944289693594,72.84313725490196
project_sanction_date,date,0,-0.1490949195705905,,
estimated_project_cost_inr_crore,numeric,0,0.14444508633544445,3093.604353233831,4620.2131578947365
percent_land_clear_title,numeric,0,-0.12938249203445726,72.80174129353233,68.17017543859649
state_historical_avg_delay_days,numeric,101,0.1275553729828562,33.17223974763407,46.851219512195115
approvals_required_count,numeric,0,0.09475298061413222,4.512437810945274,4.7368421052631575
percent_land_disputed_ownership,numeric,0,0.08463154408408027,27.018407960199003,30.180701754385968
