feature,coefficient,abs_coefficient
categorical__land_type_required_Commercial,-0.3981119505537773,0.3981119505537773
categorical__state_Tamil Nadu,-0.35643974790357386,0.35643974790357386
categorical__land_type_required_Forest,0.34255124806894777,0.34255124806894777
categorical__local_body_resolution_status_Opposed,0.318784096359972,0.318784096359972
categorical__land_record_digitization_status_Limited,0.30880804040910265,0.30880804040910265
categorical__state_Gujarat,-0.2949248420254218,0.2949248420254218
categorical__state_Uttar Pradesh,0.26975271343180474,0.26975271343180474
categorical__state_Jharkhand,0.2664994363133624,0.2664994363133624
categorical__project_type_Power Transmission,-0.26357677586009254,0.26357677586009254
categorical__state_West Bengal,-0.2463644587218726,0.2463644587218726
categorical__state_Bihar,0.24573733171080966,0.24573733171080966
categorical__land_record_digitization_status_Complete,-0.22719381024119253,0.22719381024119253
categorical__project_type_Railway,0.18259664505796577,0.18259664505796577
categorical__local_body_resolution_status_Pending,-0.1802983767870131,0.1802983767870131
categorical__project_type_Irrigation Canal/Dam,0.1675769245801112,0.1675769245801112
categorical__project_type_Highway/Road,0.16531322322728426,0.16531322322728426
categorical__state_Telangana,-0.16081313642601974,0.16081313642601974
numeric__total_land_required_hectares,0.14085006838556316,0.14085006838556316
categorical__state_Madhya Pradesh,0.1357358141197587,0.1357358141197587
categorical__project_type_Water Supply,-0.13545323816397564,0.13545323816397564
numeric__percent_land_disputed_ownership,0.1311951621008238,0.1311951621008238
numeric__active_legal_cases_count,0.11935757952235941,0.11935757952235941
numeric__percent_land_clear_title,-0.11449300487313857,0.11449300487313857
numeric__agency_historical_completion_rate,-0.11282548708005535,0.11282548708005535
categorical__state_Kerala,0.10180105201840746,0.10180105201840746
numeric__approvals_required_count,0.10057525030123478,0.10057525030123478
categorical__project_type_Urban Infrastructure,-0.10052644010054652,0.10052644010054652
categorical__state_Odisha,0.09568154263516468,0.09568154263516468
numeric__consent_percent_obtained,-0.09095310989661211,0.09095310989661211
categorical__state_Karnataka,0.0871400201039653,0.0871400201039653
numeric__political_sensitivity_index,0.08271635359088185,0.08271635359088185
categorical__land_type_required_Residential,0.078970234576416,0.078970234576416
categorical__state_Rajasthan,-0.07421916733237945,0.07421916733237945
numeric__number_of_villages_affected,0.07214375104964625,0.07214375104964625
categorical__state_Maharashtra,0.06604932290220296,0.06604932290220296
categorical__project_type_Industrial Corridor,0.06132960590691691,0.06132960590691691
categorical__state_Andhra Pradesh,-0.060428257535324915,0.060428257535324915
numeric__estimated_project_cost_inr_crore,-0.05885760648815081,0.05885760648815081
categorical__local_body_resolution_status_Neutral,-0.051501848610122636,0.051501848610122636
categorical__local_body_resolution_status_Supportive,-0.04409515600906355,0.04409515600906355
numeric__project_type_historical_delay_rate,-0.041514634734125686,0.041514634734125686
categorical__land_type_required_Agricultural,0.041480090127677366,0.041480090127677366
categorical__project_type_Airport,-0.03437122969389083,0.03437122969389083
categorical__land_record_digitization_status_Partial,-0.033944710817239016,0.033944710817239016
categorical__state_Chhattisgarh,-0.0323189083371106,0.0323189083371106
numeric__public_hearing_objections_count,0.022582765738960096,0.022582765738960096
categorical__land_type_required_Mixed,-0.02200090726549091,0.02200090726549091
numeric__state_historical_avg_delay_days,-0.020645728862189103,0.020645728862189103
numeric__mutation_pending_percent,0.014641026978079116,0.014641026978079116
numeric__planned_land_acquisition_duration_days,0.006750359163744161,0.006750359163744161
categorical__land_record_digitization_status_Mostly Complete,-0.004780804396898238,0.004780804396898238
numeric__number_of_landowners,0.00019413377831456322,0.00019413377831456322
