state,projects,actual_delay_rate,predicted_flag_rate,avg_probability
Bihar,160,0.475,0.99375,0.5660682106471026
Jharkhand,168,0.44642857142857145,0.9880952380952381,0.5686388293699839
Karnataka,158,0.4430379746835443,0.9873417721518988,0.5173677208826936
Kerala,168,0.44047619047619047,0.9880952380952381,0.5230786273596102
Uttar Pradesh,184,0.43478260869565216,1.0,0.5631532458417501
Odisha,184,0.42934782608695654,0.9945652173913043,0.5143466878527139
Maharashtra,171,0.4152046783625731,0.9766081871345029,0.5198985588541873
Chhattisgarh,172,0.4069767441860465,0.9825581395348837,0.4735590401179826
Rajasthan,179,0.4022346368715084,0.9497206703910615,0.46474231006733163
Madhya Pradesh,177,0.3898305084745763,0.9830508474576272,0.5146379946041729
Andhra Pradesh,147,0.3741496598639456,0.9727891156462585,0.4645474607972246
West Bengal,157,0.3503184713375796,0.8980891719745223,0.42989896958895985
Telangana,155,0.34838709677419355,0.9548387096774194,0.45008683794510423
Gujarat,166,0.3373493975903614,0.9036144578313253,0.41856441593130556
Tamil Nadu,154,0.3181818181818182,0.8441558441558441,0.40481242587606986
