threshold,flagged_projects,flagged_rate,precision,recall,f1,false_positive_rate,true_positives,false_positives,true_negatives,false_negatives
0.3,2311,0.9244,0.4167027260926006,0.9582089552238806,0.5808202653799759,0.9016722408026756,963,1348,147,42
0.31,2283,0.9132,0.4191852825229961,0.9522388059701492,0.5821167883211679,0.8869565217391304,957,1326,169,48
0.32,2242,0.8968,0.4223907225691347,0.9422885572139303,0.5833076686171851,0.8662207357859532,947,1295,200,58
0.33,2198,0.8792,0.4262966333030027,0.9323383084577115,0.5850764907898844,0.8434782608695652,937,1261,234,68
0.34,2158,0.8632,0.42863762743280814,0.9203980099502488,0.5848877647802719,0.8247491638795986,925,1233,262,80
0.35,2120,0.848,0.4330188679245283,0.9134328358208955,0.58752,0.8040133779264214,918,1202,293,87
0.36,2065,0.826,0.4353510895883777,0.8945273631840795,0.5856677524429967,0.7799331103678929,899,1166,329,106
0.37,2004,0.8016,0.4411177644710579,0.8796019900497513,0.5875706214689266,0.7491638795986622,884,1120,375,121
0.38,1935,0.774,0.44857881136950906,0.863681592039801,0.5904761904761905,0.7137123745819398,868,1067,428,137
0.39,1872,0.7488,0.4545940170940171,0.8467661691542289,0.5915884602015989,0.682943143812709,851,1021,474,154
0.4,1809,0.7236,0.4621337755666114,0.8318407960199005,0.5941719971570718,0.6508361204013378,836,973,522,169
0.41,1745,0.698,0.46934097421203436,0.8149253731343283,0.5956363636363636,0.6193979933110368,819,926,569,186
0.42,1692,0.6768,0.4722222222222222,0.7950248756218905,0.5925101965146459,0.5973244147157191,799,893,602,206
0.43,1636,0.6544,0.47493887530562345,0.7731343283582089,0.5884134797425218,0.5745819397993311,777,859,636,228
0.44,1584,0.6336,0.47853535353535354,0.7542288557213931,0.5855542680571649,0.5525083612040134,758,826,669,247
0.45,1516,0.6064,0.48482849604221634,0.7313432835820896,0.5831019436731456,0.5224080267558529,735,781,714,270
0.46,1452,0.5808,0.48829201101928377,0.7054726368159204,0.5771265771265771,0.49698996655518396,709,743,752,296
0.47,1376,0.5504,0.49781976744186046,0.681592039800995,0.5753884922301554,0.46220735785953176,685,691,804,320
0.48,1318,0.5272,0.5045523520485584,0.6616915422885572,0.5725355144210074,0.4367892976588629,665,653,842,340
0.49,1265,0.506,0.5106719367588933,0.6427860696517413,0.5691629955947136,0.4140468227424749,646,619,876,359
0.5,1189,0.4756,0.5138772077375946,0.6079601990049751,0.5569735642661805,0.3866220735785953,611,578,917,394
0.51,1128,0.4512,0.523936170212766,0.5880597014925373,0.5541490857946554,0.35919732441471575,591,537,958,414
0.52,1068,0.4272,0.5318352059925093,0.5651741293532339,0.5479980704293295,0.33444816053511706,568,500,995,437
0.53,1007,0.4028,0.5392254220456802,0.5402985074626866,0.5397614314115308,0.3103678929765886,543,464,1031,462
0.54,946,0.3784,0.5465116279069767,0.5144278606965174,0.5299846232701179,0.28695652173913044,517,429,1066,488
0.55,869,0.3476,0.5592635212888377,0.4835820895522388,0.5186766275346851,0.2561872909698997,486,383,1112,519
0.56,808,0.3232,0.5655940594059405,0.454726368159204,0.5041367898510756,0.23478260869565218,457,351,1144,548
0.57,739,0.2956,0.5805142083897158,0.42686567164179107,0.4919724770642202,0.20735785953177258,429,310,1185,576
0.58,691,0.2764,0.5918958031837916,0.40696517412935324,0.482311320754717,0.18862876254180602,409,282,1213,596
0.59,636,0.2544,0.60062893081761,0.3800995024875622,0.465569774527727,0.16989966555183947,382,254,1241,623
