feature,shap_value,abs_shap
numeric__planned_land_acquisition_duration_days,1.9748971,1.9748971
numeric__total_land_required_hectares,1.1016675,1.1016675
numeric__percent_land_clear_title,-0.472765,0.472765
numeric__percent_land_disputed_ownership,-0.46287057,0.46287057
numeric__planned_land_acquisition_completion_date_dayofyear,-0.40222204,0.40222204
numeric__cumulative_stage_delay_days_as_of_snapshot,0.38149604,0.38149604
numeric__project_type_historical_delay_rate,0.27492744,0.27492744
categorical__land_type_required_Agricultural,0.224007,0.224007
numeric__rr_grievance_backlog_as_of_snapshot,-0.22361854,0.22361854
numeric__snapshot_date_year,0.19469719,0.19469719
numeric__planned_land_acquisition_completion_date_year,0.1648602,0.1648602
numeric__number_of_displaced_families,-0.15220407,0.15220407
numeric__estimated_project_cost_inr_crore,0.13521707,0.13521707
numeric__state_historical_avg_delay_days,0.11248131,0.11248131
numeric__snapshot_date_dayofyear,-0.102864996,0.102864996
categorical__land_record_digitization_status_Fully Digitized,-0.09829345,0.09829345
categorical__land_record_digitization_status_Not Digitized,0.09230634,0.09230634
numeric__planned_land_acquisition_completion_date_month,-0.087116204,0.087116204
numeric__approvals_required_count,-0.08537359,0.08537359
numeric__number_of_villages_affected,0.08250412,0.08250412
categorical__current_stage_name_Compensation Disbursement,0.079414785,0.079414785
categorical__funds_availability_status_as_of_snapshot_Insufficient,0.07653256,0.07653256
categorical__land_type_required_Homestead-Residential,0.073740825,0.073740825
numeric__percent_families_resettled_as_of_snapshot,-0.06899327,0.06899327
numeric__public_hearing_objections_count,-0.066324055,0.066324055
numeric__project_sanction_date_year,0.060871013,0.060871013
categorical__local_body_resolution_status_Neutral,0.053945832,0.053945832
numeric__approvals_approved_count_as_of_snapshot,-0.04938597,0.04938597
numeric__officer_turnover_count_as_of_snapshot,0.048304223,0.048304223
numeric__agency_historical_completion_rate,0.042965792,0.042965792
numeric__project_sanction_date_month,-0.031049673,0.031049673
numeric__missingindicator_state_historical_avg_delay_days,0.023891507,0.023891507
numeric__snapshot_date_month,-0.023512367,0.023512367
numeric__active_legal_cases_count_as_of_snapshot,-0.022199064,0.022199064
numeric__budget_utilization_percent_as_of_snapshot,0.02101135,0.02101135
categorical__local_body_resolution_status_Opposing,0.019074662,0.019074662
"categorical__applicable_land_acquisition_act_RFCTLARR Act, 2013",-0.018616766,0.018616766
categorical__funds_availability_status_as_of_snapshot_Delayed,-0.015920803,0.015920803
categorical__e_governance_system_used_flag_False,0.013179833,0.013179833
numeric__project_sanction_date_dayofyear,-0.011096537,0.011096537
categorical__political_sensitivity_index_Medium,-0.009931467,0.009931467
categorical__land_record_digitization_status_Partially Digitized,0.009371353,0.009371353
categorical__land_type_required_Forest,0.008966022,0.008966022
categorical__project_geometry_type_Linear,0.008801834,0.008801834
