feature,mean_absolute_shap
numeric__planned_land_acquisition_duration_days,1.7592901
numeric__percent_land_clear_title,0.4859732
numeric__cumulative_stage_delay_days_as_of_snapshot,0.47106194
numeric__estimated_project_cost_inr_crore,0.38246927
numeric__planned_land_acquisition_completion_date_dayofyear,0.3574768
numeric__total_land_required_hectares,0.33471859
numeric__percent_land_disputed_ownership,0.26828527
numeric__project_type_historical_delay_rate,0.24150732
numeric__project_sanction_date_dayofyear,0.23325169
numeric__snapshot_date_year,0.1872367
categorical__land_type_required_Agricultural,0.15564255
numeric__rr_grievance_backlog_as_of_snapshot,0.14254503
numeric__state_historical_avg_delay_days,0.14088723
numeric__officer_turnover_count_as_of_snapshot,0.11280261
numeric__project_sanction_date_year,0.110671
numeric__approvals_required_count,0.107653536
numeric__number_of_displaced_families,0.106571555
categorical__funds_availability_status_as_of_snapshot_Insufficient,0.104477726
categorical__current_stage_name_Compensation Disbursement,0.09857069
categorical__land_type_required_Homestead-Residential,0.097419865
numeric__planned_land_acquisition_completion_date_year,0.095934175
numeric__percent_families_resettled_as_of_snapshot,0.09149994
numeric__approvals_approved_count_as_of_snapshot,0.08342983
numeric__snapshot_date_dayofyear,0.07235448
categorical__land_record_digitization_status_Fully Digitized,0.07234815
numeric__project_sanction_date_month,0.07128803
numeric__days_since_sanction_at_snapshot,0.06696098
numeric__public_hearing_objections_count,0.06537786
numeric__planned_land_acquisition_completion_date_month,0.06325196
categorical__land_record_digitization_status_Not Digitized,0.06284659
categorical__local_body_resolution_status_Neutral,0.05361403
numeric__number_of_villages_affected,0.042003416
numeric__budget_utilization_percent_as_of_snapshot,0.040330656
numeric__agency_historical_completion_rate,0.03659054
"categorical__applicable_land_acquisition_act_RFCTLARR Act, 2013",0.029759001
numeric__snapshot_date_month,0.02767593
categorical__next_stage_name_at_snapshot_Award Declaration (Sec 23),0.023726566
numeric__active_legal_cases_count_as_of_snapshot,0.021404129
numeric__missingindicator_state_historical_avg_delay_days,0.01957156
numeric__percent_compensation_disbursed_as_of_snapshot,0.016230801
categorical__land_record_digitization_status_Partially Digitized,0.013997035
categorical__state_Bihar,0.013283709
categorical__political_sensitivity_index_Medium,0.012216315
categorical__funds_availability_status_as_of_snapshot_Delayed,0.012139928
categorical__local_body_resolution_status_Opposing,0.0109523
categorical__e_governance_system_used_flag_False,0.010947172
categorical__current_stage_name_Award Declaration (Sec 23),0.009022776
categorical__project_type_Airport Expansion,0.006743309
categorical__e_governance_system_used_flag_True,0.006699546
