threshold,precision,recall,f1,f2,flagged_cases
0.1,0.3684210526315789,1.0,0.5384615384615384,0.7446808510638298,19
0.15,0.3684210526315789,1.0,0.5384615384615384,0.7446808510638298,19
0.2,0.3888888888888889,1.0,0.56,0.7608695652173914,18
0.25,0.4117647058823529,1.0,0.5833333333333334,0.7777777777777778,17
0.3,0.4375,1.0,0.6086956521739131,0.7954545454545454,16
0.35,0.4666666666666667,1.0,0.6363636363636364,0.813953488372093,15
0.4,0.5,1.0,0.6666666666666666,0.8333333333333334,14
0.45,0.5833333333333334,1.0,0.7368421052631579,0.875,12
0.5,0.5,0.7142857142857143,0.5882352941176471,0.6578947368421053,10
0.55,0.5555555555555556,0.7142857142857143,0.625,0.6756756756756757,9
0.6,0.6666666666666666,0.5714285714285714,0.6153846153846154,0.5882352941176471,6
0.65,0.8,0.5714285714285714,0.6666666666666666,0.6060606060606061,5
0.7,0.6666666666666666,0.2857142857142857,0.4,0.3225806451612903,3
