snapshot_id,project_id,state,district,stage,probability,target
SNAP-000001-1,SIH26017-PRJ-000001,Tamil Nadu,Chennai,Social Impact Assessment (SIA),0.7140290141105652,
SNAP-000001-2,SIH26017-PRJ-000001,Tamil Nadu,Chennai,Draft Declaration,0.835456132888794,
SNAP-000001-3,SIH26017-PRJ-000001,Tamil Nadu,Chennai,Final Declaration (Sec 19),0.8223926424980164,
SNAP-000002-1,SIH26017-PRJ-000002,Rajasthan,Udaipur,Draft Declaration,0.009002845734357834,
SNAP-000003-1,SIH26017-PRJ-000003,Chhattisgarh,Raipur,Survey & Measurement,0.009776593185961246,
SNAP-000003-2,SIH26017-PRJ-000003,Chhattisgarh,Raipur,Compensation Disbursement,0.048141688108444214,
SNAP-000004-1,SIH26017-PRJ-000004,Tamil Nadu,Chennai,Compensation Disbursement,0.46630725264549255,
SNAP-000005-1,SIH26017-PRJ-000005,Odisha,Khordha,Social Impact Assessment (SIA),0.03908637538552284,
SNAP-000006-1,SIH26017-PRJ-000006,Bihar,Gaya,Social Impact Assessment (SIA),0.002275029430165887,
SNAP-000007-1,SIH26017-PRJ-000007,Assam,Kamrup,Draft Declaration,0.010543109849095345,
SNAP-000008-1,SIH26017-PRJ-000008,Bihar,Muzaffarpur,Survey & Measurement,0.006960877683013678,
SNAP-000008-2,SIH26017-PRJ-000008,Bihar,Muzaffarpur,Survey & Measurement,0.008388389833271503,
SNAP-000009-1,SIH26017-PRJ-000009,Karnataka,Belagavi,Final Declaration (Sec 19),0.07507803291082382,
SNAP-000010-1,SIH26017-PRJ-000010,Uttar Pradesh,Varanasi,Mutation & Handover,0.1972498744726181,False
SNAP-000011-1,SIH26017-PRJ-000011,Jharkhand,Ranchi,Final Declaration (Sec 19),0.07094778120517731,
SNAP-000012-1,SIH26017-PRJ-000012,Tamil Nadu,Chennai,Final Declaration (Sec 19),0.004594204016029835,False
SNAP-000012-2,SIH26017-PRJ-000012,Tamil Nadu,Chennai,Compensation Disbursement,0.002732004737481475,False
SNAP-000013-1,SIH26017-PRJ-000013,Telangana,Warangal,Final Declaration (Sec 19),0.014410611242055893,
SNAP-000014-1,SIH26017-PRJ-000014,West Bengal,Purba Bardhaman,Social Impact Assessment (SIA),0.012296986766159534,False
SNAP-000015-1,SIH26017-PRJ-000015,Jharkhand,Dhanbad,Award Declaration (Sec 23),0.5566763877868652,
SNAP-000016-1,SIH26017-PRJ-000016,Jharkhand,Dhanbad,Social Impact Assessment (SIA),0.00777328060939908,
SNAP-000016-2,SIH26017-PRJ-000016,Jharkhand,Dhanbad,Survey & Measurement,0.020790059119462967,
SNAP-000017-1,SIH26017-PRJ-000017,Chhattisgarh,Durg,Social Impact Assessment (SIA),0.11700408905744553,
SNAP-000018-1,SIH26017-PRJ-000018,Odisha,Cuttack,Compensation Disbursement,0.003818409750238061,False
SNAP-000019-1,SIH26017-PRJ-000019,Assam,Dibrugarh,Survey & Measurement,0.005630601197481155,False
SNAP-000019-2,SIH26017-PRJ-000019,Assam,Dibrugarh,Final Declaration (Sec 19),0.009187757968902588,False
SNAP-000019-3,SIH26017-PRJ-000019,Assam,Dibrugarh,Compensation Disbursement,0.003997552674263716,False
SNAP-000020-1,SIH26017-PRJ-000020,Chhattisgarh,Durg,Possession,0.05517299473285675,False
SNAP-000021-1,SIH26017-PRJ-000021,Maharashtra,Nagpur,Final Declaration (Sec 19),0.724356472492218,
SNAP-000021-2,SIH26017-PRJ-000021,Maharashtra,Nagpur,Compensation Disbursement,0.6535949110984802,
SNAP-000022-1,SIH26017-PRJ-000022,Odisha,Kalahandi,Compensation Disbursement,0.6665531992912292,True
SNAP-000023-1,SIH26017-PRJ-000023,Assam,Kamrup,Survey & Measurement,0.11819834262132645,
SNAP-000024-1,SIH26017-PRJ-000024,Rajasthan,Alwar,Social Impact Assessment (SIA),0.015372700989246368,
SNAP-000024-2,SIH26017-PRJ-000024,Rajasthan,Alwar,Social Impact Assessment (SIA),0.01405437383800745,
SNAP-000025-1,SIH26017-PRJ-000025,Gujarat,Surat,Survey & Measurement,0.20015843212604523,
SNAP-000025-2,SIH26017-PRJ-000025,Gujarat,Surat,Final Declaration (Sec 19),0.13888683915138245,
SNAP-000026-1,SIH26017-PRJ-000026,Rajasthan,Alwar,Preliminary Notification (Sec 11),0.014948166906833649,
SNAP-000027-1,SIH26017-PRJ-000027,Odisha,Khordha,Final Declaration (Sec 19),0.9878484010696411,True
SNAP-000027-2,SIH26017-PRJ-000027,Odisha,Khordha,Compensation Disbursement,0.9851442575454712,True
SNAP-000028-1,SIH26017-PRJ-000028,Madhya Pradesh,Indore,Social Impact Assessment (SIA),0.12273173779249191,
SNAP-000028-2,SIH26017-PRJ-000028,Madhya Pradesh,Indore,Draft Declaration,0.07500194013118744,
SNAP-000028-3,SIH26017-PRJ-000028,Madhya Pradesh,Indore,Draft Declaration,0.09295648336410522,
SNAP-000029-1,SIH26017-PRJ-000029,Madhya Pradesh,Indore,Preliminary Notification (Sec 11),0.6655462980270386,
SNAP-000030-1,SIH26017-PRJ-000030,Madhya Pradesh,Chhindwara,Draft Declaration,0.028984133154153824,False
SNAP-000031-1,SIH26017-PRJ-000031,West Bengal,Purulia,Survey & Measurement,0.09406045079231262,
SNAP-000031-2,SIH26017-PRJ-000031,West Bengal,Purulia,Award Declaration (Sec 23),0.08283763378858566,
SNAP-000032-1,SIH26017-PRJ-000032,Gujarat,Ahmedabad,Final Declaration (Sec 19),0.013300081714987755,
SNAP-000032-2,SIH26017-PRJ-000032,Gujarat,Ahmedabad,Compensation Disbursement,0.003636085195466876,
SNAP-000033-1,SIH26017-PRJ-000033,Tamil Nadu,Tiruchirappalli,Final Declaration (Sec 19),0.004390747752040625,False
SNAP-000033-2,SIH26017-PRJ-000033,Tamil Nadu,Tiruchirappalli,Compensation Disbursement,0.0032108633313328028,False
SNAP-000033-3,SIH26017-PRJ-000033,Tamil Nadu,Tiruchirappalli,Compensation Disbursement,0.004303605295717716,False
SNAP-000034-1,SIH26017-PRJ-000034,Maharashtra,Chhatrapati Sambhajinagar,Survey & Measurement,0.6770592331886292,
SNAP-000034-2,SIH26017-PRJ-000034,Maharashtra,Chhatrapati Sambhajinagar,Final Declaration (Sec 19),0.7788245677947998,
SNAP-000034-3,SIH26017-PRJ-000034,Maharashtra,Chhatrapati Sambhajinagar,Award Declaration (Sec 23),0.7569212317466736,
SNAP-000035-1,SIH26017-PRJ-000035,Uttar Pradesh,Lucknow,Compensation Disbursement,0.010783982463181019,False
SNAP-000036-1,SIH26017-PRJ-000036,Telangana,Hyderabad,Compensation Disbursement,0.2573710083961487,False
SNAP-000037-1,SIH26017-PRJ-000037,Jharkhand,Dhanbad,Social Impact Assessment (SIA),0.5209751725196838,
SNAP-000037-2,SIH26017-PRJ-000037,Jharkhand,Dhanbad,Draft Declaration,0.7194596529006958,
SNAP-000037-3,SIH26017-PRJ-000037,Jharkhand,Dhanbad,Final Declaration (Sec 19),0.7052479982376099,
SNAP-000038-1,SIH26017-PRJ-000038,Assam,Kamrup,Final Declaration (Sec 19),0.5201486945152283,
SNAP-000039-1,SIH26017-PRJ-000039,Assam,Dibrugarh,Social Impact Assessment (SIA),0.2370113730430603,
SNAP-000040-1,SIH26017-PRJ-000040,Karnataka,Bengaluru Rural,Social Impact Assessment (SIA),0.009475982747972012,
SNAP-000040-2,SIH26017-PRJ-000040,Karnataka,Bengaluru Rural,Social Impact Assessment (SIA),0.010978303849697113,
SNAP-000040-3,SIH26017-PRJ-000040,Karnataka,Bengaluru Rural,Survey & Measurement,0.012496099807322025,
SNAP-000041-1,SIH26017-PRJ-000041,Jharkhand,Ranchi,Survey & Measurement,0.01045219600200653,False
SNAP-000041-2,SIH26017-PRJ-000041,Jharkhand,Ranchi,Award Declaration (Sec 23),0.005923811811953783,False
SNAP-000042-1,SIH26017-PRJ-000042,Telangana,Karimnagar,Final Declaration (Sec 19),0.004843869712203741,False
SNAP-000043-1,SIH26017-PRJ-000043,Jharkhand,Ranchi,Final Declaration (Sec 19),0.008385407738387585,
SNAP-000044-1,SIH26017-PRJ-000044,Karnataka,Ballari,Award Declaration (Sec 23),0.002837708918377757,False
SNAP-000045-1,SIH26017-PRJ-000045,West Bengal,Purulia,Final Declaration (Sec 19),0.08952401578426361,False
SNAP-000045-2,SIH26017-PRJ-000045,West Bengal,Purulia,Compensation Disbursement,0.023848367854952812,False
SNAP-000046-1,SIH26017-PRJ-000046,Odisha,Kalahandi,Award Declaration (Sec 23),0.024757923558354378,
SNAP-000047-1,SIH26017-PRJ-000047,Jharkhand,Ranchi,Final Declaration (Sec 19),0.07368740439414978,False
SNAP-000047-2,SIH26017-PRJ-000047,Jharkhand,Ranchi,Compensation Disbursement,0.04612172022461891,False
SNAP-000048-1,SIH26017-PRJ-000048,West Bengal,Howrah,Draft Declaration,0.6393517851829529,
SNAP-000049-1,SIH26017-PRJ-000049,Bihar,Muzaffarpur,Draft Declaration,0.016203060746192932,False
SNAP-000049-2,SIH26017-PRJ-000049,Bihar,Muzaffarpur,Award Declaration (Sec 23),0.03546981140971184,False
SNAP-000050-1,SIH26017-PRJ-000050,Jharkhand,Paschimi Singhbhum,Compensation Disbursement,0.3961406648159027,False
SNAP-000051-1,SIH26017-PRJ-000051,Tamil Nadu,Chennai,Final Declaration (Sec 19),0.057455915957689285,
SNAP-000051-2,SIH26017-PRJ-000051,Tamil Nadu,Chennai,Compensation Disbursement,0.12836448848247528,
SNAP-000052-1,SIH26017-PRJ-000052,Bihar,Gaya,Draft Declaration,0.023338908329606056,
SNAP-000052-2,SIH26017-PRJ-000052,Bihar,Gaya,Compensation Disbursement,0.03160294517874718,
SNAP-000053-1,SIH26017-PRJ-000053,Karnataka,Belagavi,Compensation Disbursement,0.11112038791179657,False
SNAP-000054-1,SIH26017-PRJ-000054,Telangana,Warangal,Social Impact Assessment (SIA),0.054418232291936874,False
SNAP-000054-2,SIH26017-PRJ-000054,Telangana,Warangal,Survey & Measurement,0.08643954992294312,False
SNAP-000054-3,SIH26017-PRJ-000054,Telangana,Warangal,Compensation Disbursement,0.04129556939005852,False
SNAP-000055-1,SIH26017-PRJ-000055,Bihar,Muzaffarpur,Social Impact Assessment (SIA),0.0035913835745304823,
SNAP-000055-2,SIH26017-PRJ-000055,Bihar,Muzaffarpur,Social Impact Assessment (SIA),0.00968906655907631,
SNAP-000056-1,SIH26017-PRJ-000056,Odisha,Sundargarh,Social Impact Assessment (SIA),0.010727028362452984,False
SNAP-000057-1,SIH26017-PRJ-000057,Kerala,Thiruvananthapuram,Social Impact Assessment (SIA),0.00351182883605361,
SNAP-000058-1,SIH26017-PRJ-000058,Uttar Pradesh,Varanasi,Final Declaration (Sec 19),0.001777556142769754,
SNAP-000058-2,SIH26017-PRJ-000058,Uttar Pradesh,Varanasi,Possession,0.003715747967362404,
SNAP-000059-1,SIH26017-PRJ-000059,Madhya Pradesh,Jabalpur,Survey & Measurement,0.004286190960556269,
SNAP-000060-1,SIH26017-PRJ-000060,Chhattisgarh,Raipur,Survey & Measurement,0.012450397945940495,
SNAP-000060-2,SIH26017-PRJ-000060,Chhattisgarh,Raipur,Survey & Measurement,0.006250946782529354,
SNAP-000060-3,SIH26017-PRJ-000060,Chhattisgarh,Raipur,Final Declaration (Sec 19),0.04008415713906288,
SNAP-000061-1,SIH26017-PRJ-000061,Madhya Pradesh,Jabalpur,Draft Declaration,0.8355057239532471,
